run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,400.15859970505375,5,0.03964992626343644,Peor que el óptimo
2,408.9161019277813,6,2.229025481945328,Peor que el óptimo
3,408.91610192778137,9,2.2290254819453423,Peor que el óptimo
4,400.01086739014283,4,0.0027168475357086663,Peor que el óptimo
5,404.63226223134416,4,1.1580655578360393,Peor que el óptimo
6,408.9161019277813,8,2.229025481945328,Peor que el óptimo
7,408.9161019277813,7,2.229025481945328,Peor que el óptimo
8,408.9161020199742,5,2.229025504993544,Peor que el óptimo
9,404.3391736441668,4,1.0847934110417015,Peor que el óptimo
10,404.47404308975445,5,1.1185107724386114,Peor que el óptimo
11,408.91610192778137,7,2.2290254819453423,Peor que el óptimo
12,407.39837271416246,5,1.8495931785406157,Peor que el óptimo
13,408.9161019277813,7,2.229025481945328,Peor que el óptimo
14,408.9161019277813,5,2.229025481945328,Peor que el óptimo
15,407.3228242944714,4,1.830706073617847,Peor que el óptimo
16,408.9161019277813,7,2.229025481945328,Peor que el óptimo
17,400.4143491545737,5,0.10358728864342481,Peor que el óptimo
18,400.1061878201347,5,0.02654695503368032,Peor que el óptimo
19,408.9161019277813,6,2.229025481945328,Peor que el óptimo
20,408.9161019277813,7,2.229025481945328,Peor que el óptimo
21,408.9161019277813,6,2.229025481945328,Peor que el óptimo
22,408.9161019277813,5,2.229025481945328,Peor que el óptimo
23,408.9161019277813,7,2.229025481945328,Peor que el óptimo
24,400.0460814840432,7,0.011520371010803387,Peor que el óptimo
25,408.9161019277813,7,2.229025481945328,Peor que el óptimo
26,408.91610696122467,5,2.2290267403061677,Peor que el óptimo
27,400.55272033824735,5,0.1381800845618386,Peor que el óptimo
28,400.09087505176973,5,0.022718762942432136,Peor que el óptimo
29,408.9161019277813,9,2.229025481945328,Peor que el óptimo
30,400.37418176502575,5,0.09354544125643827,Peor que el óptimo
31,404.3543970898452,4,1.0885992724612947,Peor que el óptimo
