rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue_raw,wilcoxon_pvalue_holm,mannwhitney_pvalue_raw,significancia
1,ACO,1.19,600.238870,0.920769,600.009712,0.092460,599.914735,600.563005,600.000001,605.154210,2.154915e-11,8.019619e-06,2.405886e-05,1.398947e-07,Peor (-) ***
2,Hybrid DTW,2.74,603.534403,5.945872,601.416843,4.266934,601.441299,605.627507,600.010816,627.667954,6.270671e-08,1.000000e+00,1.000000e+00,1.000000e+00,=
3,GWO,3.03,603.519268,3.656066,602.153962,4.498463,602.232237,604.806300,600.034335,611.571287,1.490497e-04,3.883800e-01,3.883800e-01,1.810711e-01,Similar (=) ns
4,PSO,3.48,606.579164,8.166518,603.910822,7.744931,603.704334,609.453993,600.036822,636.029417,3.028891e-06,3.211138e-02,6.422275e-02,1.429865e-02,Similar (=) ns
5,EHO,4.55,610.754948,7.226694,609.802494,10.965951,608.210961,613.298935,601.395117,627.667691,6.542083e-02,5.317852e-06,2.127141e-05,3.878818e-06,Mejor (+) ***
6,WOA,6.00,642.164910,14.104227,640.945365,13.947853,637.199850,647.129970,617.336358,677.651750,5.055472e-01,9.313226e-10,4.656613e-09,2.502101e-11,Mejor (+) ***
