run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,600.5036683592652,5,0.083944726544208,Peor que el óptimo
2,601.4168426649096,5,0.23614044415160151,Peor que el óptimo
3,602.0200768669894,7,0.33667947783156177,Peor que el óptimo
4,619.3802042924892,4,3.230034048748204,Peor que el óptimo
5,627.6679544375305,4,4.611325739588419,Peor que el óptimo
6,600.0708621878642,7,0.011810364644039359,Peor que el óptimo
7,600.1367416209581,4,0.022790270159684194,Peor que el óptimo
8,600.0239187298533,5,0.003986454975555868,Peor que el óptimo
9,600.2437494083733,8,0.04062490139555545,Peor que el óptimo
10,608.3788612806919,7,1.3964768801153202,Peor que el óptimo
11,600.1202575387491,7,0.020042923124852525,Peor que el óptimo
12,605.4124198392412,8,0.902069973206873,Peor que el óptimo
13,600.3955281580144,6,0.06592135966906199,Peor que el óptimo
14,600.0108161797967,5,0.0018026966327890175,Peor que el óptimo
15,604.0335402948425,4,0.672256715807085,Peor que el óptimo
16,600.0636869429818,5,0.01061449049696724,Peor que el óptimo
17,601.0731377105485,7,0.17885628509141802,Peor que el óptimo
18,604.7968995638377,7,0.7994832606396093,Peor que el óptimo
19,601.8526088276457,7,0.3087681379409446,Peor que el óptimo
20,600.3834909897314,6,0.0639151649552332,Peor que el óptimo
21,602.0795752373085,6,0.34659587288475296,Peor que el óptimo
22,607.3198078142832,5,1.2199679690471992,Peor que el óptimo
23,604.6013770904559,5,0.7668961817426521,Peor que el óptimo
24,600.1074343045069,5,0.017905717417818323,Peor que el óptimo
25,600.1891833599742,5,0.031530559995701424,Peor que el óptimo
26,600.4482879865694,6,0.07471466442823764,Peor que el óptimo
27,604.1905179273776,4,0.6984196545629402,Peor que el óptimo
28,600.1463177396587,4,0.024386289943114054,Peor que el óptimo
29,606.0698395586578,5,1.0116399264429674,Peor que el óptimo
30,602.1608846444192,5,0.36014744073653066,Peor que el óptimo
31,604.2679917250921,5,0.7113319541820147,Peor que el óptimo
