rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,Hybrid DTW,2.26,2522.020533,65.923925,2500.549901,55.621036,2498.813572,2545.227495,2406.892389,2639.023659,3.772182e-05,1.000000e+00,1.000000e+00,=
2,ACO,2.48,2538.038196,59.831137,2500.480575,122.346489,2516.976056,2559.100335,2500.342819,2640.401361,4.076884e-08,3.175717e-01,8.437493e-01,Similar (=) ns
3,GWO,3.00,2589.451105,54.945240,2611.458107,67.135790,2570.108931,2608.793280,2500.332321,2664.134603,4.802018e-06,6.440151e-04,1.545598e-02,Peor (-) ***
4,PSO,3.55,2603.304604,126.900065,2613.624374,119.121459,2558.632432,2647.976776,2500.374067,3215.230675,8.716066e-09,2.085903e-04,3.305173e-04,Peor (-) ***
5,EHO,3.94,2610.018757,153.684613,2615.306918,132.985027,2555.917717,2664.119797,2500.345158,3150.071442,7.133793e-07,5.628739e-04,1.439327e-04,Peor (-) ***
6,WOA,5.77,2893.668025,475.538929,2658.908756,517.405162,2726.265771,3061.070278,2500.728494,3963.666654,5.148774e-06,9.313226e-10,4.337883e-09,Peor (-) ***
