run,mejor_valor,n_switches
1,2501.0089037237776,12
2,2500.578267957753,11
3,2618.223280832108,11
4,2500.4840279394925,15
5,2613.853274369352,6
6,2500.3676930853435,12
7,2411.954566891322,10
8,2500.2589561075815,12
9,2500.445636297928,15
10,2500.312224602638,7
11,2500.5378831221883,13
12,2500.3360469374384,15
13,2500.538482915425,15
14,2500.716776089823,15
15,2406.892388777726,12
16,2500.4967209969514,10
17,2500.5476618927955,12
18,2426.8871200286517,5
19,2611.0464975972027,6
20,2619.700652551783,11
21,2638.1117347477125,15
22,2446.8941336806365,8
23,2500.607779254932,17
24,2500.558842944676,13
25,2620.823985458099,14
26,2500.4721170446364,12
27,2500.549901093489,10
28,2619.242255388949,10
29,2639.023659101376,10
30,2500.566593132608,9
31,2500.5984716291027,16
