run,Hybrid DDTW,PSO,GWO,WOA,EHO,ACO
1,2225.4637560372034,2338.6350461062602,2229.259626825979,2238.9573934859936,2220.617156062089,2227.179248878519
2,2222.1210315051485,2200.7072042231666,2228.4957020887036,2230.5756884899515,2222.079606458194,2229.806997903603
3,2220.0440258852695,2221.3519595054286,2230.050536881925,2239.7492107364924,2220.0817742305107,2226.416019356884
4,2221.866029537696,2342.7805188265165,2226.979164762793,2229.1279299122666,2225.8647784342747,2226.9532973812406
5,2222.197250737354,2220.533014665,2227.9570717113897,2233.9864821026813,2222.1973739109667,2228.7393658021983
6,2222.2469273932124,2222.131036391756,2223.7009585289693,2229.9558160436204,2221.304737141672,2226.923447763471
7,2207.624893414123,2221.3086410492683,2222.28182242069,2240.8117352396953,2223.3556617996273,2228.7095248347437
8,2220.814057882014,2221.1247526574693,2232.4019694245653,2234.347089263355,2221.828514456981,2229.8966388199447
9,2220.7784904086448,2220.7621136970106,2228.394653856654,2268.8676273849783,2223.237223840979,2228.8624874555635
10,2221.2225027966674,2201.0136723570727,2221.0147500738353,2277.983129714119,2221.2140135202903,2224.436440200102
11,2221.1839776090396,2220.4068921107105,2230.6757391512024,2240.954224675061,2220.6214246129744,2229.8074500458642
12,2221.5650523084314,2341.2857507203225,2209.881876717359,2246.2086832969107,2221.1121064228955,2227.355413515852
13,2220.2877494740706,2220.233278409986,2227.975725076338,2234.1471273892666,2224.7906483970382,2225.6724193798664
14,2220.21258791943,2220.9023548618293,2201.936509449025,2365.0345676538905,2222.573648179781,2224.3261801261565
15,2221.6868704483454,2221.9256427120795,2227.8794521910995,2228.47305343347,2220.7201330134317,2229.4987905312714
16,2220.3579359004607,2220.2917937858833,2226.9640600802686,2234.2170682445444,2223.14902969154,2228.2889461346945
17,2220.1833041872987,2220.1628231850304,2222.817333494782,2242.8737078171553,2223.0379553374714,2228.0941665339474
18,2225.759085704508,2338.521794018201,2221.7902872531777,2236.3667445331935,2225.7952019775626,2227.188024996986
19,2221.0229740263135,2339.882573382668,2229.9145918752974,2265.617639512263,2216.0213668397823,2228.2347315688316
20,2221.1586669505054,2339.9319958702936,2226.4095248493404,2242.908377635057,2221.431673084754,2226.5050956226355
21,2222.122689990488,2220.7105603102527,2224.6380529755334,2240.5234655636887,2221.8063106071313,2226.381680960118
22,2220.34059273361,2338.647974297869,2225.272333260739,2397.793180816393,2220.243908334322,2230.206636545329
23,2220.9479082564967,2339.1247960560077,2229.155411730858,2228.614795186916,2225.8726815936184,2225.8684907137717
24,2220.136599233744,2220.551853392496,2227.8583701094726,2233.8004062590367,2221.169543304511,2230.110366189313
25,2221.0947704296095,2221.445536438568,2225.5162769603576,2233.5547823472384,2221.8823036093554,2229.0643443091067
26,2231.0432733832604,2343.7399954043567,2211.221214952002,2235.343082289023,2220.8541430272503,2226.673023709883
27,2220.4351605800634,2220.505458417299,2207.040095636977,2238.6991410055466,2222.189371644594,2229.7406137563084
28,2219.6223912375062,2338.5609230887235,2226.5379029086585,2230.140849328256,2221.3115009130215,2226.066584824339
29,2221.58231625823,2222.2991616514228,2226.137004643061,2372.129674902373,2221.6186502462665,2225.2145210163226
30,2220.153087931298,2220.788687959238,2225.0114486891684,2239.2350249248498,2223.91818149912,2222.8033475880584
31,2221.20466278111,2338.9254095224514,2217.571635922527,2235.427377775349,2224.0521486239036,2227.4706942843854
