rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,GWO,2.32,2027.205704,7.950686,2030.021548,8.758424,2024.406853,2030.004555,2004.241383,2036.994245,2.760467e-04,6.635808e-01,9.887673e-01,Similar (=) ns
2,Hybrid DTW,2.45,2028.270115,6.191745,2027.324099,8.654724,2026.090457,2030.449773,2010.835413,2041.503132,2.294687e-01,1.000000e+00,1.000000e+00,=
3,EHO,3.42,2035.114388,8.610650,2032.321121,11.053982,2032.083212,2038.145564,2021.758231,2057.724045,3.833342e-01,2.900588e-03,2.047822e-03,Peor (-) **
4,PSO,3.45,2034.672583,13.668759,2032.311431,13.908660,2029.860819,2039.484347,2009.518448,2075.249679,1.816725e-02,1.485207e-02,5.922372e-02,Peor (-) *
5,ACO,4.10,2035.260729,3.660371,2035.747216,3.813688,2033.972181,2036.549276,2026.756126,2044.744569,4.540878e-01,1.619570e-06,4.750013e-06,Peor (-) ***
6,WOA,5.26,2045.808776,11.381499,2042.951862,13.519620,2041.802188,2049.815364,2025.598208,2076.251950,6.668327e-02,6.519258e-09,3.083698e-09,Peor (-) ***
