rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,GWO,2.35,2027.205704,7.950686,2030.021548,8.758424,2024.406853,2030.004555,2004.241383,2036.994245,2.760467e-04,4.919456e-01,8.437493e-01,Similar (=) ns
2,Hybrid DTW,2.45,2028.654197,5.678859,2027.695010,8.056212,2026.655088,2030.653305,2013.815838,2041.503132,6.595588e-01,1.000000e+00,1.000000e+00,=
3,EHO,3.42,2035.114388,8.610650,2032.321121,11.053982,2032.083212,2038.145564,2021.758231,2057.724045,3.833342e-01,4.139345e-03,3.729411e-03,Peor (-) **
4,PSO,3.45,2034.672583,13.668759,2032.311431,13.908660,2029.860819,2039.484347,2009.518448,2075.249679,1.816725e-02,2.600933e-02,8.333331e-02,Peor (-) *
5,ACO,4.06,2035.260729,3.660371,2035.747216,3.813688,2033.972181,2036.549276,2026.756126,2044.744569,4.540878e-01,1.174398e-06,2.952650e-06,Peor (-) ***
6,WOA,5.26,2045.808776,11.381499,2042.951862,13.519620,2041.802188,2049.815364,2025.598208,2076.251950,6.668327e-02,9.313226e-09,3.658834e-09,Peor (-) ***
