run,mejor_valor,n_switches
1,2020.2779591491358,6
2,2019.9993914696988,5
3,2027.4172032089718,7
4,2020.9970137214398,8
5,2024.7813471815568,6
6,2020.7087954846058,5
7,2020.9959598326545,8
8,2022.0613411781658,7
9,2019.7524917292658,5
10,2020.042593008378,7
11,2020.038434421496,7
12,2020.3589979298615,6
13,2019.9996452608837,7
14,2021.002575238601,5
15,2021.441122524023,11
16,2020.5000181354708,7
17,2021.98928353392,5
18,2000.626549883314,7
19,2021.6227797242548,7
20,2001.0107862443353,7
21,2020.0000749384762,6
22,2021.301002496242,9
23,2021.6272132853544,9
24,2022.1611630459,7
25,2025.9370860415768,6
26,2020.9948391179105,8
27,2021.6222441674386,6
28,2020.6260926644748,8
29,2001.9900317443648,7
30,2021.1570682328613,6
31,2029.946730342692,10
