run,mejor_valor,n_switches
1,2201.3871376515954,4
2,2220.672050053914,8
3,2220.261868819099,8
4,2225.490879656524,9
5,2220.9816123120504,8
6,2222.5986397510474,9
7,2220.0805951695866,9
8,2220.053782761865,7
9,2220.475502153685,8
10,2220.7238747347237,6
11,2220.5996565139053,9
12,2220.164863812505,8
13,2220.2838701013316,9
14,2222.749870218373,8
15,2222.1106316857936,13
16,2222.2654107107105,10
17,2220.1803653819834,7
18,2220.8534053846247,10
19,2202.674801103386,6
20,2220.196175873927,11
21,2220.044682535011,9
22,2220.1803257582515,10
23,2221.8827952668207,8
24,2220.0225269684274,8
25,2220.7699613860987,6
26,2220.676581467893,7
27,2220.3318801137275,8
28,2220.729111242936,5
29,2220.9320391612437,6
30,2220.6668978818793,7
31,2219.9417225464385,10
