rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,Hybrid DTW,1.61,2219.709146,4.858426,2220.599657,0.720127,2217.998852,2221.419440,2201.387138,2225.490880,1.737781e-09,1.000000e+00,1.000000e+00,=
2,EHO,2.74,2222.127509,1.987983,2221.828514,2.052302,2221.427686,2222.827331,2216.021367,2225.872682,2.725141e-02,9.162351e-06,1.145390e-04,Peor (-) ***
3,PSO,3.26,2261.909459,59.090445,2221.351960,118.099076,2241.108062,2282.710855,2200.707204,2343.739995,3.758273e-07,4.139345e-03,2.358158e-03,Peor (-) **
4,GWO,3.52,2223.959390,7.253282,2226.409525,5.635612,2221.406044,2226.512737,2201.936509,2232.401969,4.524586e-05,6.639863e-03,9.839439e-06,Peor (-) **
5,ACO,4.26,2227.499838,1.898362,2227.355414,2.564566,2226.831565,2228.168112,2222.803348,2230.206637,2.630574e-01,9.313226e-10,2.064307e-11,Peor (-) ***
6,WOA,5.61,2253.110486,43.433550,2238.699141,8.997599,2237.820730,2268.400242,2228.473053,2397.793181,1.199192e-08,9.313226e-10,1.401846e-11,Peor (-) ***
