Funcion            : CEC 1 (F1_Shifted_Rotated_Zakharov) (Mejor Run #07)
Dimension          : 10
Limites            : [-100.0, 100.0]
Optimo conocido    : 300.000000
Mejor valor global : 300.000000
Total switches     : 10

1. PSO (poblacional) | mejor=300.095729 | 0.0s-0.5s | iters=300
2. EHO (poblacional) | mejor=300.000000 | 0.5s-1.1s | iters=300
3. GWO (poblacional) | mejor=300.000000 | 1.1s-1.2s | iters=56
4. EHO (poblacional) | mejor=300.000000 | 1.2s-1.3s | iters=56
5. PSO (poblacional) | mejor=300.000000 | 1.3s-1.3s | iters=56
6. ACO (poblacional) | mejor=300.000000 | 1.3s-1.4s | iters=56
7. PSO (poblacional) | mejor=300.000000 | 1.4s-1.5s | iters=56
8. EHO (poblacional) | mejor=300.000000 | 1.5s-1.5s | iters=56
9. GWO (poblacional) | mejor=300.000000 | 1.5s-1.6s | iters=56
10. PSO (poblacional) | mejor=300.000000 | 1.6s-1.7s | iters=56
