rank,algoritmo,mean_rank,mean_lcoe,std_lcoe,median_lcoe,iqr_lcoe,ci95_low,ci95_high,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,Hybrid DTW,1.82,0.267160,0.000001,0.267159,0.000000,0.267159,0.267160,4.638037e-12,1.000000e+00,1.000000e+00,=
2,GWO,3.77,0.267764,0.002339,0.267160,0.000001,0.266941,0.268587,2.594216e-11,1.619570e-06,1.289955e-10,Peor (-) ***
3,ACO,4.21,0.271395,0.006181,0.267159,0.007419,0.269220,0.273571,1.332732e-06,4.847903e-04,2.106343e-07,Peor (-) ***
4,ILS,4.45,0.267178,0.000018,0.267171,0.000022,0.267172,0.267184,1.273940e-04,9.313226e-10,1.901121e-11,Peor (-) ***
5,PSO,4.68,0.275970,0.009699,0.274579,0.019563,0.272556,0.279384,6.796114e-06,8.038577e-04,2.148589e-02,Peor (-) ***
6,WOA,5.35,0.277463,0.009765,0.276524,0.019563,0.274026,0.280901,7.771792e-06,9.578979e-05,1.170030e-03,Peor (-) ***
7,ABC,5.79,0.271782,0.004379,0.270612,0.005922,0.270241,0.273324,1.626252e-04,1.167293e-06,7.653732e-12,Peor (-) ***
8,EHO,7.05,0.279582,0.007006,0.276524,0.012144,0.277115,0.282048,7.096885e-05,1.844316e-06,3.264024e-10,Peor (-) ***
9,SA,7.87,0.284300,0.011174,0.280553,0.017009,0.280366,0.288233,5.411039e-03,9.313226e-10,7.825662e-12,Peor (-) ***
