rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue_raw,wilcoxon_pvalue_holm,mannwhitney_pvalue_raw,significancia
1,Hybrid DTW,2.00,2522.945165,46.728406,2500.513584,0.267243,2506.495533,2539.394797,2500.258225,2632.527622,4.381278e-09,1.000000e+00,1.000000e+00,1.000000e+00,=
2,ACO,2.48,2538.038196,59.831137,2500.480575,122.346489,2516.976056,2559.100335,2500.342819,2640.401361,4.076884e-08,2.638926e-01,2.638926e-01,9.326816e-01,Similar (=) ns
3,GWO,3.23,2589.451105,54.945240,2611.458107,67.135790,2570.108931,2608.793280,2500.332321,2664.134603,4.802018e-06,4.619360e-06,1.847744e-05,2.047822e-03,Mejor (+) ***
4,PSO,3.55,2603.304604,126.900065,2613.624374,119.121459,2558.632432,2647.976776,2500.374067,3215.230675,8.716066e-09,4.005246e-05,1.071012e-04,1.120469e-05,Mejor (+) ***
5,EHO,3.97,2610.018757,153.684613,2615.306918,132.985027,2555.917717,2664.119797,2500.345158,3150.071442,7.133793e-07,3.570039e-05,1.071012e-04,8.633962e-06,Mejor (+) ***
6,WOA,5.77,2893.668025,475.538929,2658.908756,517.405162,2726.265771,3061.070278,2500.728494,3963.666654,5.148774e-06,9.313226e-10,4.656613e-09,9.956815e-10,Mejor (+) ***
