run,mejor_valor,n_switches,gap_pct,tiempo_s
1,22713.0,17,1.5218522372528616,47.26
2,22704.0,16,1.5608740894901145,38.01
3,22678.0,17,1.6736038848421784,42.44
4,22931.0,17,0.5766562608394034,33.59
5,22791.0,17,1.18366285119667,35.95
6,22701.0,17,1.5738813735691988,36.10
7,22422.0,17,2.7835587929240373,37.63
8,22520.0,17,2.358654179673951,35.15
9,22426.0,16,2.7662157474852584,45.92
10,22387.0,16,2.935310440513354,44.79
11,22816.0,17,1.075268817204301,39.76
12,22669.0,16,1.712625737079431,43.62
13,22800.0,17,1.1446409989594173,33.77
14,22626.0,17,1.8990634755463058,36.08
15,22721.0,18,1.4871661463753034,34.92
16,23043.0,15,0.09105098855359,46.23
17,22376.0,18,2.9830038154699965,43.43
18,23055.0,16,0.03902185223725286,44.96
19,22547.0,16,2.241588622962192,48.18
20,22407.0,16,2.848595213319459,40.15
21,22705.0,17,1.5565383281304197,35.46
22,22652.0,17,1.7863336801942422,42.51
23,22610.0,17,1.9684356573014221,36.25
24,22485.0,17,2.510405827263267,38.56
25,23043.0,17,0.09105098855359,50.45
26,22689.0,17,1.625910509885536,35.44
27,22666.0,18,1.7256330211585154,39.01
28,22592.0,18,2.046479361775928,41.76
29,22830.0,17,1.0145681581685744,42.62
30,22875.0,17,0.8194588969823101,38.00
31,22690.0,18,1.6215747485258412,41.82
