rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue_raw,wilcoxon_pvalue_holm,mannwhitney_pvalue_raw,significancia
1,Hybrid DTW,1.81,2220.337218,4.644298,2220.940519,1.565997,2218.702303,2221.972134,2201.213746,2225.463756,1.325481e-08,1.000000e+00,1.000000e+00,1.000000e+00,=
2,EHO,2.55,2222.127509,1.987983,2221.828514,2.052302,2221.427686,2222.827331,2216.021367,2225.872682,2.725141e-02,2.892655e-02,2.892655e-02,1.669496e-02,Mejor (+) *
3,PSO,3.29,2261.909459,59.090445,2221.351960,118.099076,2241.108062,2282.710855,2200.707204,2343.739995,3.758273e-07,6.639863e-03,1.327973e-02,6.514043e-02,Mejor (+) *
4,GWO,3.48,2223.959390,7.253282,2226.409525,5.635612,2221.406044,2226.512737,2201.936509,2232.401969,4.524586e-05,3.350240e-03,1.005072e-02,3.940457e-05,Mejor (+) *
5,ACO,4.26,2227.499838,1.898362,2227.355414,2.564566,2226.831565,2228.168112,2222.803348,2230.206637,2.630574e-01,9.313226e-10,4.656613e-09,3.667361e-11,Mejor (+) ***
6,WOA,5.61,2253.110486,43.433550,2238.699141,8.997599,2237.820730,2268.400242,2228.473053,2397.793181,1.199192e-08,9.313226e-10,4.656613e-09,1.401846e-11,Mejor (+) ***
