funcion,run,mejor_valor,valor_optimo
F3_Shifted_Rotated_Expanded_Schaffers_F7,27,602.6645140313702,600.0
F3_Shifted_Rotated_Expanded_Schaffers_F7,28,600.8673910288067,600.0
F3_Shifted_Rotated_Expanded_Schaffers_F7,29,604.3633317923661,600.0
F3_Shifted_Rotated_Expanded_Schaffers_F7,30,605.5691061370466,600.0
F3_Shifted_Rotated_Expanded_Schaffers_F7,31,607.0597906979016,600.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,1,819.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,2,814.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,3,810.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,4,822.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,5,823.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,6,818.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,7,820.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,8,815.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,9,813.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,10,825.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,11,825.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,12,804.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,13,807.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,14,824.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,15,815.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,16,814.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,17,810.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,18,824.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,19,821.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,20,827.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,21,811.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,22,812.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,23,821.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,24,822.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,25,820.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,26,818.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,27,810.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,28,824.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,29,811.0000000000175,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,30,812.0,800.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,31,815.0,800.0
F5_Shifted_Rotated_Levy,1,900.000077091148,900.0
F5_Shifted_Rotated_Levy,2,900.0000016408957,900.0
F5_Shifted_Rotated_Levy,3,900.0000801914142,900.0
F5_Shifted_Rotated_Levy,4,900.454324018591,900.0
F5_Shifted_Rotated_Levy,5,900.0000184371685,900.0
F5_Shifted_Rotated_Levy,6,900.0,900.0
F5_Shifted_Rotated_Levy,7,900.0000000000002,900.0
F5_Shifted_Rotated_Levy,8,900.0000016165126,900.0
F5_Shifted_Rotated_Levy,9,900.4543242138114,900.0
F5_Shifted_Rotated_Levy,10,900.0,900.0
F5_Shifted_Rotated_Levy,11,900.0000000000003,900.0
F5_Shifted_Rotated_Levy,12,900.0000027007175,900.0
F5_Shifted_Rotated_Levy,13,900.000041647062,900.0
F5_Shifted_Rotated_Levy,14,900.0000000000001,900.0
F5_Shifted_Rotated_Levy,15,900.0000000000069,900.0
F5_Shifted_Rotated_Levy,16,900.0895282504167,900.0
F5_Shifted_Rotated_Levy,17,900.0000000000003,900.0
F5_Shifted_Rotated_Levy,18,900.0000250787285,900.0
F5_Shifted_Rotated_Levy,19,902.612953518187,900.0
F5_Shifted_Rotated_Levy,20,900.0000002466296,900.0
F5_Shifted_Rotated_Levy,21,900.0000000000001,900.0
F5_Shifted_Rotated_Levy,22,900.0000019911886,900.0
F5_Shifted_Rotated_Levy,23,900.0000024301563,900.0
F5_Shifted_Rotated_Levy,24,900.4543240190814,900.0
F5_Shifted_Rotated_Levy,25,900.000000000001,900.0
F5_Shifted_Rotated_Levy,26,900.000000086631,900.0
F5_Shifted_Rotated_Levy,27,900.0000002217274,900.0
F5_Shifted_Rotated_Levy,28,900.0895282504166,900.0
F5_Shifted_Rotated_Levy,29,900.0895282504166,900.0
F5_Shifted_Rotated_Levy,30,900.0000548492634,900.0
F5_Shifted_Rotated_Levy,31,1204.8647889148788,900.0
F6_Hybrid_Function_1,1,5160.224127401145,1800.0
F6_Hybrid_Function_1,2,2602.9639861248634,1800.0
F6_Hybrid_Function_1,3,3690.6464827178424,1800.0
F6_Hybrid_Function_1,4,2443.4195888474974,1800.0
F6_Hybrid_Function_1,5,2390.1481931302806,1800.0
F6_Hybrid_Function_1,6,5082.594344525254,1800.0
F6_Hybrid_Function_1,7,2021.3028553194292,1800.0
F6_Hybrid_Function_1,8,4031.1090952768945,1800.0
F6_Hybrid_Function_1,9,7977.571263365431,1800.0
F6_Hybrid_Function_1,10,7490.1511006858855,1800.0
F6_Hybrid_Function_1,11,2324.0725111817615,1800.0
F6_Hybrid_Function_1,12,2479.2841475082287,1800.0
F6_Hybrid_Function_1,13,5186.149377790947,1800.0
F6_Hybrid_Function_1,14,1922.3272805056513,1800.0
F6_Hybrid_Function_1,15,3293.525390652743,1800.0
