instancia,n_runs,media_hibrido,mejor_hibrido,valor_optimo_bks,gap_medio_pct,gap_mejor_pct,comparadores,victorias_significativas,similares,derrotas_significativas,significancia_estadistica
mknapcb1_inst00,31,24131.032258064515,24266.0,24381.0,1.0252563140785198,0.4716787662524097,7,2,4,1,Mixta significativa (+2/=4/-1)
mknapcb2_inst00,31,58195.354838709674,58828.0,59312.0,1.8826631394832791,0.8160237388724035,7,6,0,1,Mixta significativa (+6/=0/-1)
mknapcb3_inst00,31,117205.45161290323,118071.0,120130.0,2.434486295760238,1.7139765254307833,7,6,0,1,Mixta significativa (+6/=0/-1)
mknapcb4_inst00,31,22795.16129032258,23055.0,23064.0,1.1656204894095532,0.03902185223725286,7,2,4,1,Mixta significativa (+2/=4/-1)
mknapcb5_inst00,31,58058.12903225807,58421.0,59187.0,1.9072954664739479,1.294203118928143,7,5,2,0,Favorable significativa (+5/=2/-0)
mknapcb6_inst00,31,114697.12903225806,115240.0,117726.0,2.572813964410526,2.111683060666293,7,6,1,0,Favorable significativa (+6/=1/-0)
mknapcb7_inst00,31,21678.129032258064,21772.0,21946.0,1.2205913047568373,0.7928551900118472,7,4,0,3,Mixta significativa (+4/=0/-3)
mknapcb8_inst00,31,55388.67741935484,55813.0,56693.0,2.3006765926043102,1.552219850775228,7,3,3,1,Mixta significativa (+3/=3/-1)
mknapcb9_inst00,31,113115.87096774194,113978.0,115868.0,2.3752278733196954,1.6311664998101287,7,6,1,0,Favorable significativa (+6/=1/-0)
