instancia,n,m,media,std,mediana,mejor,peor,valor_optimo,gap_medio_pct,gap_mejor_pct,switches_medio,tiempo_medio_s
mknapcb1_inst00,100,5,24131.032258064515,88.37730108186177,24134.0,24266.0,23964.0,24381.0,1.0252563140785198,0.4716787662524097,27.225806451612904,108.36
mknapcb2_inst00,250,5,58195.354838709674,240.5499811771533,58186.0,58828.0,57584.0,59312.0,1.8826631394832791,0.8160237388724035,26.967741935483872,436.70
mknapcb3_inst00,500,5,117205.45161290323,455.1991296769896,117215.0,118071.0,115795.0,120130.0,2.434486295760238,1.7139765254307833,26.032258064516128,1458.09
mknapcb4_inst00,100,10,22795.16129032258,108.45635268182654,22764.0,23055.0,22652.0,23064.0,1.1656204894095532,0.03902185223725286,27.548387096774192,111.12
mknapcb5_inst00,250,10,58058.12903225807,201.42248039566215,58052.0,58421.0,57483.0,59187.0,1.9072954664739479,1.294203118928143,27.193548387096776,460.11
mknapcb6_inst00,500,10,114697.12903225806,414.9392292804305,114759.0,115240.0,113928.0,117726.0,2.572813964410526,2.111683060666293,26.258064516129032,1469.12
mknapcb7_inst00,100,30,21678.129032258064,70.88415899083284,21649.0,21772.0,21582.0,21946.0,1.2205913047568373,0.7928551900118472,27.612903225806452,118.92
mknapcb8_inst00,250,30,55388.67741935484,200.35877289804716,55440.0,55813.0,54958.0,56693.0,2.3006765926043102,1.552219850775228,27.322580645161292,443.91
mknapcb9_inst00,500,30,113115.87096774194,378.75915761827946,113188.0,113978.0,112567.0,115868.0,2.3752278733196954,1.6311664998101287,26.451612903225808,1533.54
