rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,SA,1.39,58332.870968,234.173973,58354.000000,332.000000,58250.435549,58415.306386,57827.000000,58795.000000,9.278646e-01,4.778240e-02,2.564736e-02,Mejor (+) *
2,Hybrid DTW,1.81,58195.354839,244.526283,58186.000000,237.500000,58109.275133,58281.434544,57584.000000,58828.000000,3.817738e-01,1.000000e+00,1.000000e+00,=
3,GA,3.29,57850.677419,231.668929,57858.000000,223.000000,57769.123842,57932.230996,57393.000000,58559.000000,2.420414e-01,8.195639e-08,8.628575e-07,Peor (-) ***
4,GWO,4.16,57663.225806,142.371277,57660.000000,189.500000,57613.107359,57713.344254,57352.000000,57973.000000,7.050659e-01,9.313226e-10,3.250784e-10,Peor (-) ***
5,WOA,4.35,57646.580645,150.657619,57610.000000,216.000000,57593.545187,57699.616103,57372.000000,57941.000000,4.178125e-01,1.862645e-09,3.401423e-10,Peor (-) ***
6,ACO,6.55,56896.645161,251.982082,56951.000000,369.000000,56807.940818,56985.349505,56319.000000,57377.000000,9.280116e-01,9.313226e-10,1.401024e-11,Peor (-) ***
7,EHO,7.10,56711.096774,313.963730,56756.000000,441.500000,56600.573255,56821.620293,56023.000000,57372.000000,9.814694e-01,9.313226e-10,1.401024e-11,Peor (-) ***
8,PSO,7.35,56708.290323,137.206218,56701.000000,181.000000,56659.990113,56756.590532,56492.000000,57073.000000,6.135191e-02,9.313226e-10,1.400201e-11,Peor (-) ***
