iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,GWO,poblacional,691126490.8337272,691126490.8337272,False,False,,,,,,,0,0,1,Llenando ventana
2,1,GWO,poblacional,691126490.8337272,691126490.8337272,False,False,,,,,,,1,0,2,Llenando ventana
3,1,GWO,poblacional,602590683.9237739,602590683.9237739,False,False,,,,,,,0,0,3,Llenando ventana
4,1,GWO,poblacional,63148150.419136934,63148150.419136934,False,False,,,,,,,0,0,4,Llenando ventana
5,1,GWO,poblacional,63148150.419136934,63148150.419136934,False,False,,,,,,,1,0,5,Llenando ventana
6,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,0,0,6,Llenando ventana
7,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,1,0,7,Llenando ventana
8,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,2,0,8,Llenando ventana
9,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,3,0,9,Llenando ventana
10,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,4,0,10,Llenando ventana
11,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,5,0,11,Llenando ventana
12,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,6,0,12,Llenando ventana
13,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,7,0,13,Llenando ventana
14,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,8,0,14,Llenando ventana
15,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,9,0,15,Llenando ventana
16,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,10,0,16,Llenando ventana
17,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,11,0,17,Llenando ventana
18,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,12,0,18,Llenando ventana
19,1,GWO,poblacional,27271706.108947977,27271706.108947977,False,False,,,,,,,13,0,19,Llenando ventana
20,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,0,0,20,Llenando ventana
21,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,1,0,21,Llenando ventana
22,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,2,0,22,Llenando ventana
23,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,3,0,23,Llenando ventana
24,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,4,0,24,Llenando ventana
25,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,5,0,25,Llenando ventana
26,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,6,0,26,Llenando ventana
27,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,7,0,27,Llenando ventana
28,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,8,0,28,Llenando ventana
29,1,GWO,poblacional,15515500.708474608,15515500.708474608,False,False,,,,,,,9,0,29,Llenando ventana
30,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,680340267.0561296,675610990.1252527,4729276.930876851,3.0,15.0,9.0,10,0,30,Explotacion activa
31,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,680340267.0561296,675610990.1252527,4729276.930876851,3.0,15.0,9.0,11,0,31,Explotacion activa
32,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,591576092.9532834,587075183.2152994,4500909.737984061,3.0,15.0,9.0,12,0,32,Explotacion activa
33,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,48029588.45825117,47632649.71066233,396938.7475888431,3.0,15.0,9.0,13,0,33,Explotacion activa
34,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,48029588.45825117,47632649.71066233,396938.7475888431,3.0,15.0,9.0,14,0,34,Explotacion activa
35,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,11862011.249077627,11756205.40047337,105805.84860425815,3.0,15.0,9.0,15,0,35,Explotacion activa
36,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,11862011.249077627,11756205.40047337,105805.84860425815,3.0,15.0,9.0,16,0,36,Explotacion activa
37,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,11862011.249077627,11756205.40047337,105805.84860425815,3.0,15.0,9.0,17,0,37,Explotacion activa
38,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,11862011.249077627,11756205.40047337,105805.84860425815,3.0,15.0,9.0,18,0,38,Explotacion activa
39,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,11862011.249077627,11756205.40047337,105805.84860425815,11756205.40047337,211093539.8067608,1628130.0447074077,19,0,39,Explotacion activa
40,1,GWO,poblacional,15515500.708474608,15515500.708474608,True,False,11862011.249077627,11756205.40047337,105805.84860425815,11756205.40047337,48029588.45825117,396938.7475888431,20,0,40,Explotacion activa
