run,mejor_valor,n_switches
1,2750.42716385982,10
2,2900.0000000000105,14
3,3000.000004859966,6
4,2750.427262257602,6
5,2600.000102986009,5
6,2900.0000000005134,5
7,2750.467376002136,11
8,2750.4271739541687,13
9,2600.0000000086843,5
10,2900.0000000000005,7
11,2750.4271805578264,7
12,2750.4271712055806,8
13,2900.0000000136624,8
14,2600.000000000737,5
15,2900.0000000074615,12
16,3000.000125005866,8
17,2900.0000001392104,12
18,3000.0000292451655,5
19,2750.4910593979157,15
20,2750.427239548368,9
21,2600.000000000114,12
22,2600.0000000000978,12
23,2600.0207413556245,10
24,2900.0000000178666,6
25,2600.0000002187357,7
26,2600.0000071572454,7
27,2750.473121738691,9
28,2900.0000001024478,10
29,2600.0000932897046,5
30,2750.4271736636438,7
31,2900.000000086185,4
