instancia,n,m,media,std,mediana,mejor,peor,valor_optimo,gap_medio_pct,gap_mejor_pct,switches_medio,tiempo_medio_s
mknapcb1_inst00,100,5,24014.354838709678,148.66579717870695,24026.0,24253.0,23596.0,24381.0,1.5038151072159573,0.5249989746113777,16.64516129032258,38.83
mknapcb2_inst00,250,5,57879.12903225807,204.850652433155,57855.0,58252.0,57409.0,59312.0,2.4158196785506063,1.787159428108983,16.322580645161292,156.55
mknapcb3_inst00,500,5,116168.0,706.4099604748396,116135.0,117793.0,114558.0,120130.0,3.29809373179056,1.9453924914675769,15.419354838709678,533.84
mknapcb4_inst00,100,10,22682.90322580645,184.8356471063065,22689.0,23055.0,22376.0,23064.0,1.6523446678527074,0.03902185223725286,16.870967741935484,40.32
mknapcb5_inst00,250,10,57771.290322580644,294.25665706815914,57757.0,58232.0,57027.0,59187.0,2.3919267363092476,1.6135299981414837,16.193548387096776,167.12
mknapcb6_inst00,500,10,113874.35483870968,539.8172658790223,113942.0,115029.0,112989.0,117726.0,3.2717030743338964,2.2909127975128687,16.387096774193548,626.63
mknapcb7_inst00,100,30,21608.935483870966,150.1684936424095,21649.0,21772.0,21250.0,21946.0,1.535881327481237,0.7928551900118472,17.0,40.18
mknapcb8_inst00,250,30,55207.096774193546,238.65663752503397,55289.0,55572.0,54787.0,56693.0,2.6209641857133184,1.977316423544353,16.70967741935484,163.38
mknapcb9_inst00,500,30,112591.90322580645,422.00384915219865,112621.0,113312.0,111817.0,115868.0,2.8274387874076954,2.2059585045051264,16.322580645161292,541.04
