rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,GA,1.74,55433.161290,177.597879,55406.000000,171.500000,55370.642150,55495.680431,55074.000000,55835.000000,4.547581e-01,1.401638e-03,1.774660e-03,Mejor (+) **
2,WOA,3.16,55204.225806,116.222118,55198.000000,127.000000,55163.312554,55245.139059,54992.000000,55602.000000,3.157967e-02,9.687357e-01,8.547758e-01,Similar (=) ns
3,Hybrid DTW,3.26,55207.096774,242.601643,55289.000000,426.000000,55121.694593,55292.498955,54787.000000,55572.000000,9.253779e-03,1.000000e+00,1.000000e+00,=
4,GWO,3.45,55193.354839,151.120162,55171.000000,151.500000,55140.156553,55246.553124,54991.000000,55616.000000,8.254821e-03,7.498410e-01,9.775362e-01,Similar (=) ns
5,SA,3.58,55152.193548,307.057586,55168.000000,462.500000,55044.101174,55260.285923,54713.000000,55922.000000,1.741193e-01,3.778494e-01,1.856849e-01,Similar (=) ns
6,EHO,6.13,54753.741935,198.799559,54809.000000,281.000000,54683.759244,54823.724627,54369.000000,55085.000000,2.075069e-01,4.656613e-09,9.239460e-09,Peor (-) ***
7,PSO,6.68,54586.032258,116.101818,54603.000000,165.000000,54545.161354,54626.903162,54346.000000,54907.000000,1.527705e-01,1.173503e-06,2.061924e-11,Peor (-) ***
8,ACO,8.00,52869.258065,324.339120,52886.000000,398.000000,52755.082134,52983.433995,52358.000000,53624.000000,3.487746e-01,1.173503e-06,1.401024e-11,Peor (-) ***
