run,mejor_valor,n_switches,gap_pct,tiempo_s
1,55572.0,17,1.977316423544353,176.48
2,54889.0,15,3.1820506940892175,108.73
3,54899.0,17,3.16441183214859,177.29
4,55428.0,17,2.23131603548939,174.08
5,55422.0,16,2.2418993526537667,116.84
6,55509.0,16,2.0884412537703065,222.41
7,55329.0,17,2.4059407687016034,193.57
8,55036.0,17,2.922759423561992,189.35
9,54997.0,17,2.9915509851304396,143.49
10,54862.0,17,3.2296756213289117,139.35
11,55001.0,17,2.9844954403541886,162.84
12,54925.0,17,3.118550791102958,192.32
13,55438.0,17,2.2136771735487626,195.52
14,55021.0,16,2.949217716472933,186.16
15,55474.0,18,2.1501772705625033,183.04
16,54787.0,16,3.361967085883619,147.27
17,55132.0,18,2.753426348931967,132.38
18,55122.0,17,2.7710652108725946,178.12
19,55341.0,15,2.3847741343728504,175.38
20,55021.0,18,2.949217716472933,139.87
21,55536.0,17,2.0408163265306123,218.73
22,55404.0,16,2.2736493041468964,187.93
23,54988.0,18,3.007425960877004,125.52
24,55459.0,16,2.176635563473445,98.84
25,55364.0,16,2.3442047519094067,171.50
26,55289.0,17,2.4764962164641138,160.52
27,55473.0,16,2.1519411567565663,224.33
28,55420.0,17,2.2454271250418922,175.79
29,55317.0,16,2.4271074030303565,106.28
30,54960.0,17,3.0568147743107614,126.27
31,55005.0,17,2.977439895577937,134.43
