rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue_raw,wilcoxon_pvalue_holm,mannwhitney_pvalue_raw,significancia
1,Hybrid DDTW,2.16,2022.698363,9.806440,2021.989966,5.329544,2019.246237,2026.150488,2001.495208,2045.873099,2.194975e-03,1.000000e+00,1.000000e+00,1.000000e+00,=
2,PSO,2.81,2026.262947,8.461329,2024.974868,8.100758,2023.284336,2029.241558,2001.990999,2046.466532,4.437722e-02,6.642110e-02,1.328422e-01,3.593100e-02,Similar (=) ns
3,ACO,2.87,2028.819996,22.083139,2024.535839,3.990022,2021.046149,2036.593844,2015.737555,2146.646188,3.647297e-11,1.156141e-01,1.328422e-01,9.199873e-03,Similar (=) ns
4,EHO,3.45,2033.226916,22.170281,2026.040318,7.163937,2025.422392,2041.031440,2019.644831,2140.930902,3.982304e-09,3.350240e-03,1.005072e-02,8.060743e-04,Mejor (+) *
5,GWO,3.74,2031.485879,8.615513,2031.613287,11.836324,2028.452991,2034.518767,2009.370835,2047.500382,7.987063e-01,2.504881e-03,1.001953e-02,2.383085e-04,Mejor (+) *
6,WOA,5.97,2129.259508,49.039741,2120.334590,51.474300,2111.996225,2146.522791,2042.315726,2269.812004,2.554396e-01,9.313226e-10,4.656613e-09,1.544705e-11,Mejor (+) ***
