funcion,n_dim,n_runs,media,std,mediana,mejor,mejor_run,peor,valor_optimo,resultado_mejor_frente_optimo
F1_Shifted_Rotated_Zakharov,10,31,300.46882058187725,2.6094589899529765,300.0000000000115,300.0,8,314.52900027331253,300.0,Óptimo alcanzado
F2_Shifted_Rotated_Rosenbrock,10,31,405.9358229634974,3.761033948708697,408.9161019277813,400.01086739014283,4,408.91611794854833,400.0,Peor que el óptimo
F3_Shifted_Rotated_Expanded_Schaffers_F7,10,31,603.6877577370047,6.050480469139332,601.080269737524,600.0175849639187,16,627.6679544375305,600.0,Peor que el óptimo
F4_Shifted_Rotated_NonContinuous_Rastrigin,10,31,815.741935483871,4.9461617572650365,816.0,806.0000000000006,30,827.0,800.0,Peor que el óptimo
F5_Shifted_Rotated_Levy,10,31,901.9720445210386,5.980933735098568,900.0000366794577,900.0000000000001,3,924.7449107437017,900.0,Óptimo alcanzado
F6_Hybrid_Function_1,10,31,3532.52973399749,1942.1640492714841,2738.486062899289,1830.3996353076616,2,8017.950243711502,1800.0,Peor que el óptimo
F7_Hybrid_Function_2,10,31,2022.6983625561375,9.806439817570748,2021.9899664193706,2001.4952077230994,8,2045.8730992680137,2000.0,Peor que el óptimo
F8_Hybrid_Function_3,10,31,2221.176794288424,3.347798069375972,2221.0947704296095,2207.624893414123,7,2231.0432733832604,2200.0,Peor que el óptimo
F9_Composition_Function_1,10,31,2529.284382708488,5.145548831122698e-12,2529.284382708487,2529.284382708487,1,2529.2843827085157,2300.0,Peor que el óptimo
F10_Composition_Function_2,10,31,2522.829708927816,46.35495753347298,2500.5288135981523,2500.2812709805994,29,2625.6484768888577,2400.0,Peor que el óptimo
F11_Composition_Function_3,10,31,2653.690121453328,91.13522338536325,2600.0000001562075,2600.0000000000005,13,2900.0000000414916,2600.0,Óptimo alcanzado
F12_Composition_Function_4,10,31,2863.7571630141183,1.357502818484985,2863.7148495493293,2860.6801761305433,1,2866.6821679412374,2700.0,Peor que el óptimo
