rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,SA,1.42,58045.612903,238.925327,58072.000000,320.500000,57961.504882,58129.720924,57642.000000,58522.000000,4.742564e-01,1.391596e-02,6.444329e-03,Mejor (+) *
2,Hybrid DTW,1.90,57879.129032,208.236843,57855.000000,285.500000,57805.824168,57952.433897,57409.000000,58252.000000,8.114993e-01,1.000000e+00,1.000000e+00,=
3,GA,2.84,57663.709677,200.307463,57648.000000,274.000000,57593.196164,57734.223191,57317.000000,58284.000000,1.955810e-01,8.311952e-04,1.962234e-04,Peor (-) ***
4,GWO,4.42,57299.741935,180.677054,57295.000000,220.500000,57236.138844,57363.345027,57027.000000,57789.000000,2.608642e-01,9.313226e-10,1.032280e-10,Peor (-) ***
5,WOA,4.52,57293.870968,156.135356,57280.000000,97.000000,57238.907202,57348.834734,56737.000000,57676.000000,1.730128e-03,1.295371e-06,3.334018e-11,Peor (-) ***
6,ACO,6.69,56624.032258,300.991416,56628.000000,412.500000,56518.075336,56729.989180,56134.000000,57377.000000,3.597089e-01,1.173503e-06,1.401024e-11,Peor (-) ***
7,PSO,7.08,56498.064516,143.590839,56471.000000,194.000000,56447.516751,56548.612281,56201.000000,56822.000000,9.625794e-01,1.173503e-06,1.401024e-11,Peor (-) ***
8,EHO,7.13,56451.322581,343.105561,56441.000000,587.500000,56330.540368,56572.104793,55814.000000,57045.000000,2.727248e-01,1.173503e-06,1.401846e-11,Peor (-) ***
