iteracion,epoch,mh,tipo,lcoe_best,lcoe_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
48,2,SA,trayectoria,0.2867225595734892,0.2928729350072044,False,False,,,,,,,6,0,7,Llenando ventana
49,2,SA,trayectoria,0.2867225595734892,0.29546796422212834,False,False,,,,,,,7,0,8,Llenando ventana
50,2,SA,trayectoria,0.2867225595734892,0.29413735807694863,False,False,,,,,,,8,0,9,Llenando ventana
51,2,SA,trayectoria,0.2867225595734892,0.29413735807694863,False,False,,,,,,,9,0,10,Llenando ventana
52,2,SA,trayectoria,0.2867225595734892,0.2958802180451387,False,False,,,,,,,10,0,11,Llenando ventana
53,2,SA,trayectoria,0.2867225595734892,0.2887933542497319,False,False,,,,,,,11,0,12,Llenando ventana
54,2,SA,trayectoria,0.2867225595734892,0.28720833630799997,False,False,,,,,,,12,0,13,Llenando ventana
55,2,SA,trayectoria,0.28354301809598514,0.28354301809598514,False,False,,,,,,,0,0,14,Llenando ventana
56,2,SA,trayectoria,0.28354301809598514,0.2853853250408316,False,False,,,,,,,1,0,15,Llenando ventana
57,2,SA,trayectoria,0.28354301809598514,0.2853853250408316,False,False,,,,,,,2,0,16,Llenando ventana
58,2,SA,trayectoria,0.28354301809598514,0.28893873330974873,False,False,,,,,,,3,0,17,Llenando ventana
59,2,SA,trayectoria,0.28354301809598514,0.2849957195581309,False,False,,,,,,,4,0,18,Llenando ventana
60,2,SA,trayectoria,0.28354301809598514,0.28515208480216125,False,False,,,,,,,5,0,19,Llenando ventana
61,2,SA,trayectoria,0.28354301809598514,0.28667661444878856,False,False,,,,,,,6,0,20,Llenando ventana
62,2,SA,trayectoria,0.28354301809598514,0.29369217995125363,False,False,,,,,,,7,0,21,Llenando ventana
63,2,SA,trayectoria,0.28354301809598514,0.2955523753584987,False,False,,,,,,,8,0,22,Llenando ventana
64,2,SA,trayectoria,0.28354301809598514,0.2968876364927083,False,False,,,,,,,9,0,23,Llenando ventana
65,2,SA,trayectoria,0.28354301809598514,0.29558550455285915,False,False,,,,,,,10,0,24,Llenando ventana
66,2,SA,trayectoria,0.28354301809598514,0.29558550455285915,False,False,,,,,,,11,0,25,Llenando ventana
67,2,SA,trayectoria,0.28354301809598514,0.296747194844254,False,False,,,,,,,12,0,26,Llenando ventana
68,2,SA,trayectoria,0.28354301809598514,0.29605626438242355,False,False,,,,,,,13,0,27,Llenando ventana
69,2,SA,trayectoria,0.28354301809598514,0.29605626438242355,False,False,,,,,,,14,0,28,Llenando ventana
70,2,SA,trayectoria,0.28354301809598514,0.29605626438242355,False,False,,,,,,,15,0,29,Llenando ventana
71,2,SA,trayectoria,0.28354301809598514,0.29734726610548623,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,3.0,15.0,9.0,16,0,30,Explotacion activa
72,2,SA,trayectoria,0.28354301809598514,0.2966024504440644,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,3.0,15.0,9.0,17,0,31,Explotacion activa
73,2,SA,trayectoria,0.28354301809598514,0.2896279205727866,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,3.0,15.0,9.0,18,0,32,Explotacion activa
74,2,SA,trayectoria,0.28354301809598514,0.28848470830031286,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,3.0,15.0,9.0,19,0,33,Explotacion activa
75,2,SA,trayectoria,0.28354301809598514,0.28848470830031286,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,3.0,15.0,9.0,20,0,34,Explotacion activa
76,2,SA,trayectoria,0.28354301809598514,0.2868287971002017,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,3.0,15.0,9.0,21,0,35,Explotacion activa
77,2,SA,trayectoria,0.28354301809598514,0.2869712234526425,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,3.0,15.0,9.0,22,0,36,Explotacion activa
78,2,SA,trayectoria,0.28354301809598514,0.2847566746891701,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,3.0,15.0,9.0,23,0,37,Explotacion activa
79,2,SA,trayectoria,0.28354301809598514,0.2847566746891701,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,3.0,15.0,9.0,24,0,38,Explotacion activa
80,2,SA,trayectoria,0.28354301809598514,0.2860111726462269,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,0.0031795414775040443,0.012179541477503997,0.008999999999999952,25,1,39,Explotacion activa
81,2,SA,trayectoria,0.28354301809598514,0.28735518064861365,True,False,0.012179541477503997,0.0031795414775040443,0.008999999999999952,0.0031795414775040443,0.012179541477503997,0.008999999999999952,26,2,40,Explotacion activa
82,2,SA,trayectoria,0.28354301809598514,0.2854374781288968,True,True,0.012179541477503997,0.0031795414775040443,0.008999999999999952,0.0031795414775040443,0.012179541477503997,0.008999999999999952,27,3,41,ESTANCAMIENTO (Fire)
83,3,PSO,poblacional,0.28354301809598514,0.28354301809598514,False,False,,,,,,,0,0,0,Llenando ventana
84,3,PSO,poblacional,0.27196809546049494,0.27196809546049494,False,False,,,,,,,0,0,0,Llenando ventana
85,3,PSO,poblacional,0.27196809546049494,0.2757565593014096,False,False,,,,,,,0,0,0,Llenando ventana
86,3,PSO,poblacional,0.2711924076210331,0.2711924076210331,False,False,,,,,,,0,0,0,Llenando ventana
87,3,PSO,poblacional,0.2711924076210331,0.27694591243432765,False,False,,,,,,,0,0,0,Llenando ventana
88,3,PSO,poblacional,0.2711924076210331,0.2738274542770633,False,False,,,,,,,0,0,0,Llenando ventana
89,3,PSO,poblacional,0.2711924076210331,0.27829892848308,False,False,,,,,,,0,0,0,Llenando ventana
90,3,PSO,poblacional,0.2711924076210331,0.27579190150340627,False,False,,,,,,,0,0,0,Llenando ventana
91,3,PSO,poblacional,0.26952596268402457,0.26952596268402457,False,False,,,,,,,0,0,0,Llenando ventana
92,3,PSO,poblacional,0.26952596268402457,0.2697206144548707,False,False,,,,,,,0,0,0,Llenando ventana
93,3,PSO,poblacional,0.26952596268402457,0.2704926670090281,False,False,,,,,,,0,0,0,Llenando ventana
94,3,PSO,poblacional,0.2690196863779253,0.2690196863779253,False,False,,,,,,,0,0,0,Llenando ventana
95,3,PSO,poblacional,0.2690196863779253,0.26964624635137413,False,False,,,,,,,0,0,0,Llenando ventana
96,3,PSO,poblacional,0.2690196863779253,0.2703727436925622,False,False,,,,,,,0,0,0,Llenando ventana
97,3,PSO,poblacional,0.2690196863779253,0.2709022663039912,False,False,,,,,,,0,0,0,Llenando ventana
98,3,PSO,poblacional,0.2690196863779253,0.27329455091532695,False,False,,,,,,,0,0,0,Llenando ventana
99,3,PSO,poblacional,0.26747404306575007,0.26747404306575007,False,False,,,,,,,0,0,0,Llenando ventana
100,3,PSO,poblacional,0.26747404306575007,0.268973598171,False,False,,,,,,,0,0,0,Llenando ventana
101,3,PSO,poblacional,0.26747404306575007,0.270495176174987,False,False,,,,,,,0,0,0,Llenando ventana
102,3,PSO,poblacional,0.26740874201641496,0.26740874201641496,False,False,,,,,,,0,0,0,Llenando ventana
103,3,PSO,poblacional,0.26728534287802935,0.26728534287802935,False,False,,,,,,,0,0,0,Llenando ventana
104,3,PSO,poblacional,0.26728534287802935,0.2676811643479025,False,False,,,,,,,0,0,0,Llenando ventana
105,3,PSO,poblacional,0.26728534287802935,0.27049350383260085,False,False,,,,,,,0,0,0,Llenando ventana
106,3,PSO,poblacional,0.26728534287802935,0.2680580945449902,False,False,,,,,,,0,0,0,Llenando ventana
107,3,PSO,poblacional,0.26728534287802935,0.2673476840111875,False,False,,,,,,,0,0,0,Llenando ventana
108,3,PSO,poblacional,0.26728534287802935,0.26732607215254006,False,False,,,,,,,0,0,0,Llenando ventana
109,3,PSO,poblacional,0.26728534287802935,0.2673710666480258,False,False,,,,,,,0,0,0,Llenando ventana
110,3,PSO,poblacional,0.26728534287802935,0.2673130151464023,False,False,,,,,,,0,0,0,Llenando ventana
111,3,PSO,poblacional,0.26725668322740964,0.26725668322740964,False,False,,,,,,,0,0,0,Llenando ventana
112,3,PSO,poblacional,0.26716656948208733,0.26716656948208733,False,False,,,0.005718386166007894,,,,0,0,0,Llenando ventana
113,3,PSO,poblacional,0.26716656948208733,0.2671831762565355,False,False,,,0.0062246624721069566,,,,0,0,0,Llenando ventana
114,3,PSO,poblacional,0.26716656948208733,0.2678667823346157,False,False,,,0.006385052832674487,,,,0,0,0,Llenando ventana
115,3,PSO,poblacional,0.26716656948208733,0.26722413659931654,False,False,,,0.006570548417639155,,,,0,0,0,Llenando ventana
116,3,PSO,poblacional,0.26716656948208733,0.2672248796528982,False,False,,,0.006570548417638933,,,,0,0,0,Llenando ventana
117,3,PSO,poblacional,0.26716656948208733,0.2671972876454823,False,False,,,0.006730938778206463,,,,0,0,0,Llenando ventana
