run,mejor_valor,n_switches
1,5160.224127401145,5
2,2602.9639861248634,5
3,3691.9835169492753,7
4,2443.740227603378,5
5,2392.5398352408715,6
6,4501.279080120654,6
7,2018.65974762569,7
8,4031.1090952768945,5
9,7246.009883947095,8
10,7508.016047386408,7
11,3081.4383871683112,6
12,1986.1405226891764,6
13,5186.149377790947,6
14,1819.0516584951636,5
15,3293.525390652743,10
16,2288.8621060775513,8
17,5505.128514459369,7
18,6055.432992328648,6
19,4553.146905077077,6
20,7557.919122737675,10
21,6845.725196040335,5
22,4393.943360519483,5
23,2156.606908101663,6
24,5183.328829754131,6
25,2661.1334446224023,5
26,1879.4865498658405,5
27,2138.8430774796934,5
28,1810.459221936273,5
29,2242.0903425619736,5
30,8017.42902890175,6
31,2110.8439488684808,5
