run,mejor_valor,n_switches,gap_pct,tiempo_s
1,117298.0,22,2.35744610005827,1818.00
2,117282.0,26,2.3707650045783732,1842.33
3,116844.0,27,2.735370015816199,1589.09
4,117167.0,25,2.4664946308166154,1383.47
5,117593.0,22,2.111878797968867,2189.62
6,117191.0,24,2.4465162740364605,1894.51
7,117175.0,24,2.4598351785565638,1896.11
8,117104.0,22,2.5189378173645216,2112.41
9,117245.0,21,2.401564971281112,2034.56
10,117974.0,26,1.794722384083909,1534.64
11,117290.0,22,2.3641055523183216,2411.68
12,117926.0,26,1.8346790976442187,1285.05
13,117979.0,21,1.790560226421377,1852.64
14,117104.0,25,2.5189378173645216,1363.34
15,116550.0,22,2.9801048863730957,1492.61
16,117843.0,23,1.9037709148422541,2020.13
17,117689.0,23,2.0319653708482477,1986.29
18,117264.0,23,2.3857487721634896,2232.16
19,116943.0,27,2.6529592940980606,1410.55
20,117464.0,21,2.219262465662199,1820.94
21,117006.0,25,2.600516107550154,1671.53
22,117825.0,27,1.9187546824273702,1078.18
23,116979.0,26,2.622991758927828,1725.53
24,116978.0,24,2.6238241904603345,1255.58
25,116923.0,27,2.6696079247481896,1418.07
26,118015.0,23,1.7605926912511447,1954.09
27,117572.0,24,2.1293598601515025,1914.13
28,117194.0,22,2.4440189794389413,2010.30
29,117748.0,27,1.982851910430367,1447.99
30,117504.0,22,2.185965204361941,2114.63
31,117800.0,25,1.9395654707400316,1270.06
