rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,SA,1.34,114848.225806,491.199940,114829.000000,679.000000,114675.310464,115021.141149,113928.000000,115941.000000,8.285774e-01,1.779074e-01,2.878005e-01,Similar (=) ns
2,Hybrid DTW,1.66,114697.129032,421.798194,114759.000000,618.500000,114548.644936,114845.613128,113928.000000,115240.000000,2.266849e-02,1.000000e+00,1.000000e+00,=
3,GA,3.35,113720.903226,335.715490,113641.000000,444.500000,113602.722513,113839.083939,113158.000000,114508.000000,2.880678e-01,1.172812e-06,3.404884e-10,Peor (-) ***
4,GWO,4.32,113214.548387,229.352544,113198.000000,328.000000,113133.810239,113295.286536,112698.000000,113573.000000,5.468652e-01,9.313226e-10,1.401846e-11,Peor (-) ***
5,WOA,4.32,113245.000000,264.817170,113200.000000,388.500000,113151.777367,113338.222633,112792.000000,113777.000000,5.209956e-01,9.313226e-10,1.401846e-11,Peor (-) ***
6,PSO,6.23,111927.387097,218.390579,111932.000000,294.500000,111850.507849,112004.266344,111517.000000,112415.000000,7.506340e-01,9.313226e-10,1.401024e-11,Peor (-) ***
7,EHO,6.77,111624.645161,418.805567,111600.000000,461.500000,111477.214548,111772.075774,110537.000000,112477.000000,3.109697e-01,1.173503e-06,1.401846e-11,Peor (-) ***
8,ACO,8.00,109550.064516,412.492823,109566.000000,589.000000,109404.856156,109695.272876,108827.000000,110357.000000,7.266836e-01,9.313226e-10,1.401846e-11,Peor (-) ***
