funcion,n_dim,n_runs,media,std,mediana,mejor,peor,valor_optimo
F1_Shifted_Rotated_Zakharov,10,31,300.00000436610156,1.6816179554094997e-05,300.00000000001216,300.00000000000006,300.0000938661378,300.0
F2_Shifted_Rotated_Rosenbrock,10,31,411.18230338307217,18.000009956380442,408.9161019277813,400.11574559332706,479.0063724304929,400.0
F3_Shifted_Rotated_Expanded_Schaffers_F7,10,31,603.2525736509614,3.5977297117235043,601.9132150309032,600.0109782449788,613.1954279923178,600.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,10,31,816.3023655475669,7.802859753599071,815.0,804.0,835.0,800.0
F5_Shifted_Rotated_Levy,10,31,900.1984415486755,0.5206546932149277,900.0000184371685,900.0,902.612953518187,900.0
F6_Hybrid_Function_1,10,31,3947.200336574354,1964.8159445362637,3293.525390652743,1810.459221936273,8017.42902890175,1800.0
F7_Hybrid_Function_2,10,31,2021.3646932467082,4.4370767511053115,2021.301002496242,2000.626549883314,2029.9454924282152,2000.0
F8_Hybrid_Function_3,10,31,2219.7091457477213,4.779421896462335,2220.5996565139053,2201.3871376515954,2225.490879656524,2200.0
F9_Composition_Function_1,10,31,2534.0241229750195,25.96062660666544,2529.284382708487,2529.284382708487,2676.216330969414,2300.0
F10_Composition_Function_2,10,31,2522.0205334255966,64.8519201435436,2500.549901093489,2406.892388777726,2639.023659101376,2400.0
F11_Composition_Function_3,10,31,2774.336871828421,136.08998140954287,2750.427262257602,2600.0000000000978,3000.000125005866,2600.0
F12_Composition_Function_4,10,31,2863.764696808422,1.6955956737863824,2863.7148495493293,2859.392376985386,2868.9069185848743,2700.0
