rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,EHO,2.10,405.244922,3.132731,404.333182,4.798415,404.142118,406.347726,400.032886,408.916102,8.796247e-05,2.210000e-03,1.312919e-02,Mejor (+) **
2,ACO,3.19,409.368794,12.820682,406.787122,2.451953,404.855576,413.882013,400.216358,477.421349,4.675701e-11,8.140813e-01,9.100959e-01,Similar (=) ns
3,Hybrid DTW,3.31,411.182303,18.297551,408.916102,4.555048,404.741083,417.623524,400.115746,479.006372,4.587016e-10,1.000000e+00,1.000000e+00,=
4,WOA,3.81,419.622425,25.311566,408.917590,18.973904,410.712086,428.532764,400.024597,479.204198,7.697002e-06,7.265278e-02,3.899470e-01,Similar (=) ns
5,PSO,3.95,416.970040,24.108638,408.916102,5.947605,408.483163,425.456917,400.113339,504.212332,2.271436e-08,8.041299e-03,5.593696e-01,Peor (-) **
6,GWO,4.65,416.113663,18.593271,409.021850,2.996057,409.568341,422.658986,402.481330,471.079118,1.753050e-08,1.977467e-02,1.931249e-03,Peor (-) *
