run,mejor_valor,n_switches,gap_pct,tiempo_s
1,24112.0,27,1.1033181575817235,103.30
2,24134.0,28,1.013083958820393,121.14
3,24046.0,28,1.3740207538657152,111.47
4,24176.0,26,0.8408186702760346,105.59
5,24054.0,26,1.341208317952504,98.87
6,24234.0,27,0.602928509905254,121.05
7,24144.0,28,0.972068413928879,103.73
8,23964.0,27,1.710348221976129,108.65
9,24046.0,27,1.3740207538657152,117.96
10,24027.0,28,1.4519502891595915,114.75
11,24266.0,25,0.4716787662524097,89.75
12,24087.0,27,1.205857019810508,113.78
13,24141.0,28,0.9843730773963332,117.72
14,24038.0,28,1.4068331897789261,113.52
15,24124.0,28,1.0540995037119067,105.05
16,24253.0,25,0.5249989746113777,104.40
17,24082.0,27,1.226364792256265,112.28
18,24253.0,28,0.5249989746113777,117.89
19,24138.0,27,0.9966777408637874,98.87
20,24266.0,28,0.4716787662524097,99.48
21,24000.0,28,1.562692260366679,110.12
22,24145.0,27,0.9679668594397277,98.70
23,23989.0,28,1.6078093597473442,102.93
24,24251.0,28,0.5332020835896805,97.38
25,24200.0,28,0.7423813625364013,110.70
26,24080.0,28,1.2345679012345678,122.51
27,24152.0,28,0.939255978015668,108.85
28,24069.0,27,1.2796850006152332,114.04
29,24243.0,27,0.5660145195028916,113.07
30,24101.0,26,1.1484352569623888,85.94
31,24247.0,26,0.549608301546286,115.69
