run,mejor_valor,n_switches,gap_pct,tiempo_s
1,55168.0,10,2.6899264459457077,224.42
2,54938.0,9,3.095620270580142,179.28
3,55356.0,8,2.3583158414619088,218.08
4,55336.0,10,2.393593565343164,145.34
5,55399.0,7,2.2824687351172104,129.92
6,55249.0,7,2.547051664226624,217.88
7,55498.0,9,2.107844001904997,134.63
8,54946.0,8,3.08150918102764,211.36
9,54901.0,8,3.1608840597604644,144.69
10,55375.0,10,2.3248020037747166,130.46
11,55010.0,6,2.9686204646076235,319.47
12,54892.0,8,3.176759035507029,264.04
13,55518.0,10,2.072566278023742,276.06
14,54924.0,9,3.1203146772970207,159.05
15,55499.0,9,2.106080115710934,223.70
16,55426.0,8,2.2348438078775157,223.71
17,55544.0,8,2.0267052369781102,196.69
18,54743.0,9,3.43957807842238,169.09
19,55076.0,8,2.8522039757994815,181.44
20,55219.0,7,2.599968250048507,72.34
21,55405.0,6,2.271885417952834,184.64
22,54884.0,9,3.190870125059531,173.71
23,55101.0,9,2.8081068209479123,121.78
24,55523.0,8,2.063746847053428,111.41
25,55412.0,9,2.2595382145943943,154.50
26,55242.0,9,2.5593988675850636,165.66
27,55083.0,6,2.839856772441042,243.39
28,55988.0,8,1.2435397668142452,250.43
29,55309.0,8,2.4412184925828586,149.62
30,55594.0,8,1.9385109272749723,205.37
31,55028.0,8,2.936870513114494,207.32
