run,mejor_valor,n_switches
1,2500.909167804313,12
2,2500.578267957753,11
3,2618.223280832108,11
4,2500.4047188597583,15
5,2624.0779170410383,6
6,2500.559955623118,12
7,2423.596619815501,9
8,2500.2419068342515,11
9,2500.4643302834124,14
10,2500.4024673831746,12
11,2500.393193734169,15
12,2500.293519753967,15
13,2500.6105031523607,13
14,2500.619709457273,13
15,2406.892406363327,12
16,2500.381425397388,14
17,2500.464860474448,16
18,2426.8871200286517,5
19,2610.621198245462,6
20,2619.212334787014,8
21,2638.1117347477125,15
22,2446.8941336806365,8
23,2500.607779254932,17
24,2500.558842944676,13
25,2620.823985458099,14
26,2500.4721170446364,12
27,2500.445300849166,10
28,2619.242255388949,10
29,2639.023659101376,10
30,2500.566593132608,10
31,2500.4500970850704,15
