run,mejor_valor,n_switches
1,819.0,14
2,814.0,18
3,822.0,12
4,812.0,17
5,823.0,16
6,816.0,11
7,833.0,13
8,810.0,17
9,811.0,16
10,825.0,11
11,807.0,10
12,804.0,6
13,807.0,13
14,824.0,15
15,815.0,17
16,812.3620466032222,15
17,812.0,14
18,824.0,15
19,812.0,17
20,806.0,13
21,809.0,15
22,812.0,17
23,830.0,18
24,817.0112853713536,14
25,835.0,17
26,818.0,18
27,816.0,15
28,818.0,16
29,809.0,17
30,810.0,16
31,823.0,13
