run,Hybrid DTW,PSO,GWO,WOA,EHO,ACO
1,902.1820708950876,903.9993456050738,900.2368779652708,1186.4981761261602,938.032483919976,900.0000000000035
2,900.9086480371819,900.9981762875982,900.105827339439,2186.288274141405,908.5487071536315,900.0000000003305
3,900.0000000000008,901.8172960743638,900.1690504340728,1455.4468001917448,902.8154512060481,900.0000000000008
4,900.0000685952981,900.4543240185909,900.4467745803769,1085.1786342201747,904.7950242035096,900.0000000000049
5,920.1129721778807,901.3629720557728,902.6338576490755,1388.5295922051869,960.6453163933523,900.0000000000007
6,900.0000000000002,900.0000000000001,901.1079240420934,1485.2272587572074,900.4543240185911,900.0000000000018
7,900.0000000000189,901.3629720557728,900.3255828426016,2293.3790939153014,1123.3186981060244,900.0895282504188
8,900.0000000000003,900.0,900.1832048278212,1445.777909472696,920.8973604730879,900.4543240594714
9,900.179056500833,900.179056500833,900.3201392269993,1159.7244023522676,945.7751469576699,900.0000000000564
10,900.000000000001,901.3629720557728,900.2710438363939,1073.099926379133,900.0000000000002,900.000000000012
11,900.0000000000001,900.454324018591,953.8783685356409,1632.428011076571,1070.6510893609088,900.0000000000019
12,900.0000000000001,900.0,913.83243825142,1377.71707705119,986.925598184966,900.0000000000425
13,900.0000000000005,900.5438522690074,903.5655891958239,1458.5513847723682,911.7042735539283,900.0000000000006
14,900.0000000000001,900.0,900.3311524170038,1001.364064082728,911.7667342530573,900.0000000000064
15,924.7449107437017,900.0000000000002,900.0761856675927,1555.2261437559569,900.5438522690074,900.0000000000048
16,900.0895282504165,900.0000000000001,900.3366485796506,1149.8976122610788,1159.195649384555,900.0895282504171
17,900.0000072648548,904.4536696236652,913.7502581401467,1204.3141376157107,910.6774278188386,900.0000000000011
18,900.4543240185911,900.1790565008331,900.8081215642994,1048.00205071033,900.454324018591,900.0000000000588
19,900.5438522690184,902.158629498272,900.3840114056682,1491.583224648225,907.8150641938566,900.0000000000415
20,900.0000000000002,900.179056500833,934.8604079706853,1387.954028533011,900.0000000000001,900.0000000000008
21,900.0000000000002,902.9439316771876,902.3260330106956,1635.8460190351736,907.9439139639576,900.0000000000045
22,900.0000000000006,902.2715989370408,901.0607325572097,1320.4267038996522,901.9718878831749,900.0000000000306
23,900.000001073707,900.4543240185909,901.3224854081665,1728.6584762986254,934.9727350887039,900.0000000000038
24,900.0000896629975,900.454324018591,900.6111476871608,1710.683884913329,914.4043904877273,900.0000000000058
25,900.0895282504167,900.0000000000003,900.3759046791581,1475.1745643703248,962.9644796074039,900.0000000000065
26,900.0002933654586,903.0907204861952,900.5763586395756,1105.209198841756,900.454324018591,900.0000000000011
27,900.5438522691818,900.3581130016657,901.3910268119643,1383.4843652452382,1004.0414901140491,900.0000000000093
28,900.0004476922174,900.0895282504165,900.2437354376294,1309.310391999732,906.8819726205486,900.0000000000024
29,900.4543240185915,900.9086480371822,904.8289471818482,1739.631983684047,994.6998363867754,900.0000000000232
30,900.0000000000014,902.0614161335913,917.3642896084503,1263.7737960344193,915.1343301543844,900.0000000000216
31,901.5420285566057,900.0895282504165,901.8884127186772,3224.565647472778,901.5420285566062,900.0000000000014
