run,mejor_valor,n_switches
1,682072782.8437626,18
2,682072782.8437625,24
3,682072782.8437624,22
4,682072782.8437624,25
5,682072782.8437625,22
6,682072782.8437626,20
7,850025047.9671019,21
8,819687859.4913175,25
9,682072782.8437625,18
10,682072782.8437628,16
11,682072782.8437625,18
12,682072782.8437771,23
13,819687859.4913175,25
14,819687859.4913175,21
15,819687859.4913175,25
16,819687859.4913175,21
17,682072782.8437625,22
18,871909301.6044675,20
19,682072782.8437626,25
20,682072782.8437625,19
21,819687859.4913175,25
22,682072782.8437625,23
23,819687859.4913175,25
24,2900.000000000001,6
25,2900.0,13
26,682072782.8437628,24
27,682072782.8437624,21
28,682072782.8437626,18
29,3089.402423903158,6
30,819687859.4913175,23
31,682072782.8437626,22
