run,mejor_valor,n_switches,gap_pct,tiempo_s
1,117233.0,25,2.4115541496711894,2177.30
2,116958.0,26,2.6404728211104636,603.70
3,117070.0,26,2.547240489469741,1979.20
4,116721.0,25,2.837759094314493,1837.47
5,117524.0,26,2.169316573711812,1430.25
6,117737.0,23,1.992008657287938,2038.16
7,116711.0,26,2.846083409639557,1238.98
8,116832.0,25,2.7453591942062765,1324.58
9,118071.0,26,1.7139765254307833,1425.63
10,115795.0,26,3.608590693415467,1148.70
11,116938.0,26,2.6571214517605926,1798.82
12,117473.0,27,2.2117705818696414,2008.29
13,117189.0,24,2.4481811371014732,1172.05
14,116735.0,26,2.8261050528594023,1613.84
15,116776.0,28,2.7919753600266377,821.47
16,117121.0,25,2.5047864813119123,1628.61
17,117204.0,27,2.4356946641138766,1099.43
18,116938.0,25,2.6571214517605926,1788.49
19,117215.0,27,2.4265379172563057,1422.09
20,117324.0,27,2.3358028802131026,1361.57
21,117309.0,27,2.348289353200699,1624.30
22,116721.0,26,2.837759094314493,1405.05
23,117577.0,25,2.12519770248897,1551.38
24,117445.0,27,2.235078664779822,1210.76
25,117811.0,27,1.9304087238824608,1012.17
26,117721.0,26,2.0053275618080413,1867.79
27,117346.0,27,2.3174893864979604,1033.64
28,117283.0,27,2.369932573045867,1463.61
29,117929.0,27,1.8321818030466994,1310.70
30,116940.0,26,2.65545658869558,1392.82
31,117722.0,26,2.0044951302755347,1409.81
