run,mejor_valor,n_switches
1,2863.904701435794,10
2,2863.715002548297,14
3,2863.8778864611795,7
4,2865.067589054306,8
5,2865.2126055976833,9
6,2865.212605597664,11
7,2863.49483520288,11
8,2859.392376985386,10
9,2863.878263107764,9
10,2861.530505729629,5
11,2863.7148495493293,9
12,2863.924512134491,8
13,2869.3144291007097,6
14,2863.877803873566,9
15,2862.567376357956,11
16,2863.7148495493743,8
17,2866.6821452778227,7
18,2868.4761082242358,5
19,2864.931007902908,11
20,2862.567376358106,12
21,2863.5207392168177,4
22,2865.349469167849,14
23,2863.859272117575,12
24,2860.183176154384,7
25,2864.0144183815833,9
26,2862.5673763735576,5
27,2861.4352713961307,6
28,2863.1315879473045,6
29,2863.904700421531,9
30,2862.567376357956,6
31,2868.3620275947687,4
