rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,GWO,2.23,2864.652968,4.031071,2863.874578,1.292385,2863.233925,2866.072011,2860.157619,2885.537775,4.339701e-10,7.498410e-01,7.890871e-01,Similar (=) ns
2,Hybrid DTW,2.26,2863.998460,2.156570,2863.877804,2.149816,2863.239290,2864.757629,2859.392377,2869.314429,3.380241e-02,1.000000e+00,1.000000e+00,=
3,ACO,2.76,2864.769839,2.306446,2863.924512,1.334867,2863.957909,2865.581769,2862.567376,2876.284400,4.320523e-09,8.220647e-02,1.486520e-01,Similar (=) ns
4,EHO,2.95,2865.020990,2.694695,2864.921942,1.843473,2864.072386,2865.969594,2860.475869,2875.798617,1.865098e-04,4.276669e-02,8.705739e-02,Peor (-) *
5,PSO,4.87,2879.459334,25.550102,2871.544850,5.601245,2870.465024,2888.453645,2863.265769,2987.430823,1.241416e-08,4.656613e-09,3.036394e-09,Peor (-) ***
6,WOA,5.94,2958.748087,57.304662,2950.915977,63.820152,2938.575334,2978.920841,2872.415950,3094.194262,1.796937e-01,9.313226e-10,1.401024e-11,Peor (-) ***
