run,Hybrid DDTW,PSO,GWO,WOA,EHO,ACO
1,300.0000001001065,300.0,482.68911999195257,3988.6180203492722,300.00000000000006,832.3219898254126
2,300.0000000118589,300.0,371.87804177622587,8858.617237182621,300.00000000000006,476.7682442447399
3,300.0000000000001,300.0,329.83890475453654,24370.51865357248,300.00000000000006,362.30547447860846
4,300.00000018050025,300.0,353.67435434160615,10020.717101014343,300.00000000000006,378.3157674701759
5,300.0000000000473,300.0,349.39110973150537,9490.886148739104,300.00000000000006,676.2920003488357
6,300.0000000000115,300.0,406.40577278750357,10633.250768711128,300.0000000000001,724.2334333940132
7,300.00000000000784,300.0,393.9539419092796,6398.379017935968,300.0000000000001,1079.5517789875396
8,300.0,300.00000000000006,317.7945223413724,10425.499160487556,300.00000000000006,561.6819530935894
9,300.00000000000114,300.00000000000006,390.389459610475,16614.26150820242,300.0,317.80589508996866
10,300.0000810355136,300.00000000000006,412.7690557219071,3925.3445076885146,300.00000000000006,1231.7570629411966
11,300.00000000000006,300.00000000000006,346.81418638724324,12843.69325063655,300.0,309.56040708448614
12,300.00000000000006,300.00000000000006,344.0235215569077,5301.493901135599,300.0,505.0051801642621
13,300.00000000000017,300.0000000000001,331.00553643480373,3152.9607178500273,300.0,347.2267945967191
14,300.00000000121327,300.0,307.60721602281455,4784.246993975588,300.0,550.5367252220486
15,300.0000000023532,300.00000000000006,341.36537016622356,6800.717847155548,300.00000000000006,1103.2707845454954
16,300.00000000000006,300.0,305.2058530191929,3629.0963119110042,300.0000000000003,605.1252661894988
17,300.0009427662569,300.00000000000006,411.5554293492981,7291.764460427927,300.00000000000017,406.3290252672001
18,300.0,300.0,324.22480266863187,20893.15867278266,300.00000000000006,1236.9462151151452
19,300.0000000000001,300.0,407.1596019226402,2108.7678510621504,300.0,755.9939739507861
20,300.00341289403957,300.00000000000006,491.21139637412284,17009.63739744094,300.0000000000001,932.482101686259
21,300.0000000000115,300.0,330.1337981235049,13480.61066735542,300.0,417.2512175459053
22,300.0000002399063,300.0,301.57944274995884,10086.977975177217,300.00000000000006,456.68289975456076
23,300.0000000238026,300.00000000000006,399.3869808042093,2498.053645444106,300.00000000000006,404.242528312938
24,300.00000023513263,300.0,346.1300638582473,2951.352786896682,300.00000000000006,451.29248957217055
25,300.00000000000006,300.00000000000006,303.8906134960031,5950.6007447302445,300.00000000000006,1144.08540045181
26,314.52900027331253,300.00000000000006,351.6454979737399,24406.03003784362,300.0000000000001,363.7813478161447
27,300.00000000000057,300.0,401.4101868785611,6620.296959254181,300.0000000000001,329.5181012590394
28,300.00000000158786,300.0,353.9139728217097,4461.3625099447745,300.00000000000006,812.6895730049016
29,300.0000000000004,300.00000000000006,325.58892639225667,2739.668161710934,300.00000000000006,502.23031219611613
30,300.00000000000676,300.0,348.800565287931,25876.29769995195,300.00000000000006,557.6133878269791
31,300.000000272524,300.0,352.0077243216207,3532.4169968880915,300.00000000000006,535.641085248906
