run,mejor_valor,n_switches,gap_pct,tiempo_s
1,21772.0,18,0.7928551900118472,40.23
2,21649.0,16,1.3533217898478083,41.70
3,21524.0,17,1.9229016677298825,34.04
4,21647.0,17,1.3624350678939214,41.21
5,21649.0,18,1.3533217898478083,40.91
6,21250.0,16,3.171420760047389,35.48
7,21772.0,17,0.7928551900118472,46.14
8,21584.0,16,1.6495033263464869,56.98
9,21685.0,18,1.189282785017771,47.75
10,21250.0,17,3.171420760047389,41.02
11,21601.0,16,1.5720404629545248,44.26
12,21649.0,18,1.3533217898478083,26.58
13,21772.0,18,0.7928551900118472,46.81
14,21660.0,17,1.3031987605941857,34.49
15,21649.0,17,1.3533217898478083,36.14
16,21250.0,17,3.171420760047389,38.03
17,21505.0,18,2.009477809167958,46.21
18,21527.0,17,1.9092317506607126,47.82
19,21649.0,17,1.3533217898478083,37.78
20,21546.0,16,1.8226556092226374,45.23
21,21333.0,17,2.793219721133692,45.95
22,21772.0,17,0.7928551900118472,32.14
23,21650.0,17,1.3487651508247516,42.23
24,21649.0,17,1.3533217898478083,39.75
25,21772.0,18,0.7928551900118472,39.36
26,21694.0,17,1.1482730338102616,40.96
27,21649.0,16,1.3533217898478083,35.19
28,21612.0,17,1.5219174337009023,37.74
29,21772.0,16,0.7928551900118472,35.97
30,21649.0,17,1.3533217898478083,26.63
31,21735.0,17,0.9614508338649412,40.94
