rank,algoritmo,mean_rank,mean_lcoe,std_lcoe,median_lcoe,iqr_lcoe,ci95_low,ci95_high,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,Hybrid DTW,2.03,0.267160,0.000005,0.267159,0.000000,0.267159,0.267162,4.978322e-12,1.000000e+00,1.000000e+00,=
2,GWO,3.97,0.268368,0.003191,0.267160,0.000001,0.267245,0.269492,3.462754e-10,1.303852e-08,5.445453e-10,Peor (-) ***
3,WOA,4.29,0.275026,0.009688,0.267159,0.019563,0.271616,0.278437,1.897368e-06,6.545078e-03,1.731859e-01,Peor (-) **
4,ILS,4.55,0.267185,0.000022,0.267179,0.000027,0.267177,0.267192,1.131078e-03,9.313226e-10,5.889532e-11,Peor (-) ***
5,PSO,5.11,0.277749,0.009978,0.274579,0.019563,0.274236,0.281261,4.732866e-05,1.324369e-04,2.473754e-03,Peor (-) ***
6,ACO,5.18,0.275005,0.008381,0.274579,0.019563,0.272054,0.277955,1.129681e-05,4.171966e-05,1.637986e-06,Peor (-) ***
7,EHO,5.76,0.278113,0.008044,0.276524,0.015854,0.275282,0.280945,6.164445e-05,1.612082e-05,1.607337e-05,Peor (-) ***
8,ABC,5.76,0.272004,0.003687,0.270931,0.006889,0.270706,0.273302,8.420196e-04,9.313226e-10,1.130731e-11,Peor (-) ***
9,SA,8.35,0.293362,0.012709,0.293275,0.027735,0.288888,0.297836,4.837827e-03,9.313226e-10,9.339709e-12,Peor (-) ***
