rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,GA,2.35,55568.774194,200.728458,55558.000000,309.500000,55498.112479,55639.435908,55074.000000,55955.000000,7.296062e-01,3.859933e-03,3.812702e-03,Mejor (+) **
2,WOA,2.61,55490.451613,137.046668,55496.000000,164.000000,55442.207569,55538.695657,55262.000000,55763.000000,3.917576e-01,2.090889e-02,7.151853e-02,Mejor (+) *
3,GWO,2.82,55469.000000,129.752585,55466.000000,146.500000,55423.323666,55514.676334,55260.000000,55863.000000,2.125173e-01,7.944201e-02,3.073738e-01,Similar (=) ns
4,Hybrid DTW,3.39,55388.677419,203.670713,55440.000000,165.500000,55316.979953,55460.374885,54958.000000,55813.000000,2.970070e-03,1.000000e+00,1.000000e+00,=
5,SA,3.95,55352.032258,201.486225,55359.000000,179.500000,55281.103789,55422.960727,54926.000000,55822.000000,5.272076e-01,4.683757e-01,1.489848e-01,Similar (=) ns
6,EHO,6.26,54862.032258,240.297660,54819.000000,226.000000,54777.441140,54946.623376,54427.000000,55472.000000,4.942059e-01,1.303852e-08,2.183334e-09,Peor (-) ***
7,PSO,6.61,54745.677419,118.372685,54744.000000,122.000000,54704.007110,54787.347728,54541.000000,55116.000000,1.346206e-01,9.313226e-10,2.750731e-11,Peor (-) ***
8,ACO,8.00,53251.612903,233.062463,53215.000000,340.000000,53169.568765,53333.657041,52872.000000,53668.000000,2.824336e-01,1.173503e-06,1.400201e-11,Peor (-) ***
