run,Hybrid DTW,PSO,GWO,WOA,EHO,ACO
1,1934.5945400087041,5157.258426852516,3014.6273941958434,2809.2621565386407,1824.81911066613,6284.985758170086
2,1846.429084787387,1950.254550664469,5410.596773917681,5187.971311990125,2612.8712344654487,8499.733636116493
3,3869.960735875427,4727.0301067716055,2097.7834411921067,3839.780564523026,3830.7167172036784,58916.52643334072
4,2078.0965666590973,2474.0924632950146,5306.801073891511,2057.095589972455,5671.892351744513,5414.263253430037
5,2400.0676564960613,1915.9091241446108,2306.4272039391462,2282.5118558139297,2390.1104069847524,186059.02406475417
6,5006.221779292926,5252.517799948723,8180.896589181868,3058.916362726476,4320.838111926801,5723.578250491459
7,2790.8609257957537,2023.4881655665083,8074.75953588138,2933.6018693820406,3121.465481126712,39845.89978715221
8,1875.4891904882695,4950.433380360992,8308.046649142754,5259.006057484774,4015.8707672631526,18531.037179419647
9,7923.928513064272,8021.470052232404,8160.980595141069,2807.238063964539,6797.359728725204,8695.291044184274
10,1872.2527506269223,2039.659997248847,7803.223301913916,8123.563142490831,1869.6514440624649,1903.3354355879626
11,2332.1038291599507,1847.6823532500043,8199.960044020158,2038.4024897591419,1925.534642539398,5600.169063735157
12,2121.5559020306105,2121.0022368717523,2604.0100233302924,1893.292999462718,2269.116443917199,8071.669307546822
13,4250.98541333365,5178.972563043513,2147.464298298818,3393.333267303379,5119.57900608472,5235.651703650243
14,2047.8043373954533,2242.120306647377,8120.972251547744,3856.5428301644156,5756.797193390019,5751.569532616799
15,2072.064938297292,3267.4732002009146,8347.103869833933,2158.2977141659712,3353.632050498337,7717.58234246005
16,4040.1067428347383,5181.003051294669,2177.3336473205336,2987.24455449951,3855.0265334508126,3597.1497049264885
17,2807.076125527369,2792.0846198171143,4801.590187696953,1855.9251085107728,2598.1801759806026,4095.056020516055
18,7492.658202467935,7962.723614346158,8175.319169156694,8144.606512386983,7473.160959379789,4564.987837327692
19,6694.602333648473,3676.2720881653377,8087.948730263303,4370.678541595444,4551.58756567524,4234.3125007532735
20,6781.9762016114355,2166.638847780388,4230.377126516342,1987.4840373979514,4149.245001736914,6944.202898897688
21,2530.5960429930497,7699.49009652582,2207.4314285176697,8112.514979274588,6820.610636049231,7803.2963648105615
22,3836.6538512159177,2418.331198755249,3686.294478532275,3272.8745605626427,4373.440608044031,15295.614964106662
23,4977.576323229485,2239.6585326877635,5035.662090947825,2038.8205785347934,2166.925961037393,13236.23270132923
24,4254.831433683248,5273.442507029163,2041.2612617029447,3998.459510118394,2027.8615634648406,8216.229307943511
25,2297.6281008303927,2662.3449723359354,3850.6679129304675,2810.2631208346875,6678.627383992604,2977.7552559104543
26,2718.090658124325,4976.1424005343,2034.5298930615097,5302.787215355464,1873.8027303161628,7892.774451685919
27,1858.8727985116122,2133.690857412364,8217.973407469108,1863.2261540238437,2176.431135670383,7446.949155489513
28,5868.644268495905,1809.8794140563573,7844.378213008466,4171.959659433545,6466.573925970155,3071.9404622947336
29,2630.5924517416497,2170.7857769290686,2003.7941345394674,2163.010843923192,2626.008813840039,5048.770237872821
30,3052.637790534854,8015.073866800985,3360.3636994144817,2723.333285602352,4114.962144752183,10639.368161793825
31,1881.5464419907748,8017.8746497747625,2071.8823960281525,2093.20324746824,1880.7273177587344,6544.724658489966
