run,mejor_valor,n_switches,gap_pct,tiempo_s
1,114401.0,17,2.8243548578903557,808.44
2,113942.0,17,3.2142432427840917,744.38
3,115029.0,16,2.2909127975128687,1234.30
4,114189.0,17,3.0044340247693797,525.63
5,113127.0,16,3.906528719229397,697.65
6,113323.0,18,3.7400404328695447,428.18
7,113959.0,17,3.199802932232472,804.49
8,114425.0,16,2.803968537111598,758.47
9,114177.0,17,3.0146271851587585,784.53
10,113506.0,16,3.584594736931519,656.97
11,114552.0,16,2.696090922990673,661.61
12,113470.0,15,3.6151742180996553,366.36
13,113411.0,17,3.6652905900141004,290.59
14,113113.0,15,3.9184207396836723,739.04
15,113703.0,17,3.417257020539218,367.09
16,114240.0,16,2.96111309311452,751.61
17,112989.0,17,4.0237500637072525,539.29
18,113993.0,17,3.170922311129232,603.28
19,113730.0,16,3.394322409663116,505.81
20,113522.0,18,3.5710038564123474,577.61
21,114299.0,15,2.9109967212000747,871.58
22,113390.0,17,3.683128620695513,562.26
23,113200.0,17,3.8445203268606765,479.31
24,114469.0,16,2.766593615683876,461.77
25,114411.0,17,2.8158605575658733,779.88
26,114533.0,17,2.7122300936071895,715.90
27,113220.0,17,3.827531726211712,351.28
28,114319.0,16,2.8940081205511103,923.58
29,113152.0,16,3.8852929684181916,372.99
30,114425.0,16,2.803968537111598,651.10
31,113886.0,13,3.2618113246011924,410.56
