funcion,n_dim,n_runs,media,std,mediana,mejor,peor,valor_optimo
F1_Zakharov_Shifted_Rotated,10,31,324.1690935948988,132.26480727692478,300.00000000036266,300.0,1048.6130478256578,300.0
F2_Rosenbrock_Shifted_Rotated,10,31,403.91200918057046,2.689937950755753,403.2576957742153,400.01295800507506,409.0914744305227,400.0
F3_Expanded_Schaffer_F6,10,31,603.1414105373404,0.48237447333824823,603.2536211438729,601.8321441001976,603.9965856446826,600.0
F4_NonContinuous_Rastrigin,10,31,818.451612903235,6.1004426580621915,818.0,809.0,832.0,800.0
F5_Levy_Shifted_Rotated,10,31,903.0244779726454,9.076826525655612,900.0000118326168,900.0000000000001,942.2450849134038,900.0
F6_Hybrid_Function_1,10,31,6850.231981762355,5461.775923007127,4520.985191320902,1971.2933178761814,23302.80636402576,1800.0
F7_Hybrid_Function_2,10,31,2028.2701149260367,6.091059910326283,2027.3240990213944,2010.8354131486078,2041.5031315852957,2000.0
F8_Hybrid_Function_3,10,31,2260.9328893682464,51.88528156133321,2232.421256596793,2217.9785310998413,2367.8892284364983,2200.0
F9_Composition_Function_1,10,31,3109.2598801393788,227.29071803997172,3036.39800238711,2954.6568116674503,3981.5041041070845,2300.0
F10_Composition_Function_2,10,31,4300.999618231612,12.223237375757911,4297.789638835995,4297.789638835995,4347.544319468056,2400.0
F11_Composition_Function_3,10,31,10992.734325616793,5781.012630515162,10115.550452806085,2900.0,21982.906347121778,2600.0
F12_Composition_Function_4,10,31,663121167.9384604,227204099.21648663,682072782.8437626,2900.0,871909301.6044675,2700.0
