run,mejor_valor,n_switches,gap_pct,tiempo_s
1,58096.0,26,2.05017534394389,575.92
2,57980.0,30,2.24575128135959,428.67
3,58281.0,27,1.738265443755058,513.57
4,57603.0,29,2.8813730779606153,380.40
5,57740.0,25,2.6503911518748313,346.16
6,58270.0,28,1.7568114378203399,474.52
7,58002.0,27,2.2086592932290263,428.01
8,58343.0,26,1.6337334772052874,517.10
9,58313.0,26,1.6843134610196924,593.99
10,58371.0,24,1.5865254923118424,529.29
11,58074.0,25,2.087267332074454,472.96
12,57800.0,27,2.549231184246021,410.46
13,58299.0,28,1.707917453466415,533.54
14,57798.0,27,2.5526031831669815,517.52
15,58272.0,28,1.7534394388993795,411.66
16,58248.0,22,1.7939034259509037,622.22
17,58479.0,26,1.4044375505799838,495.54
18,58310.0,27,1.689371459401133,569.18
19,58140.0,25,1.9759913676827623,425.47
20,58009.0,27,2.196857297005665,421.59
21,58140.0,26,1.9759913676827623,536.33
22,58255.0,29,1.7821014297275426,508.57
23,58185.0,26,1.9001213919611546,497.28
24,57947.0,27,2.3013892635554356,412.50
25,58336.0,26,1.6455354734286485,472.37
26,58408.0,29,1.524143512274076,423.27
27,58310.0,28,1.689371459401133,359.77
28,58359.0,28,1.6067574858376046,463.43
29,58123.0,28,2.004653358510925,369.62
30,57881.0,28,2.412665227947127,469.50
31,58849.0,28,0.7806177502023199,414.13
