run,mejor_valor,n_switches
1,819.0,14
2,814.0,17
3,810.0,11
4,822.0,17
5,823.0,16
6,818.0,18
7,820.0,12
8,815.0,15
9,813.0,12
10,825.0,9
11,825.0,13
12,804.0,6
13,807.0,13
14,824.0,12
15,815.0,15
16,814.0,13
17,810.0,12
18,824.0,16
19,821.0,17
20,827.0,14
21,811.0,14
22,812.0,17
23,821.0,17
24,822.0,15
25,820.0,11
26,818.0,17
27,810.0,15
28,824.0,17
29,811.0000000000175,13
30,812.0,12
31,815.0,12
