run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,611.8691847235897,4,1.9781974539316138,Peor que el óptimo
2,600.0187550931679,4,0.0031258488613161717,Peor que el óptimo
3,602.3145998917103,8,0.38576664861837645,Peor que el óptimo
4,619.3802042924892,4,3.230034048748204,Peor que el óptimo
5,627.6679544375305,4,4.611325739588419,Peor que el óptimo
6,600.0708621878642,7,0.011810364644039359,Peor que el óptimo
7,600.1367416209581,4,0.022790270159684194,Peor que el óptimo
8,600.095096328062,5,0.01584938801033786,Peor que el óptimo
9,600.2423828870739,8,0.040397147845643154,Peor que el óptimo
10,600.0600795806232,5,0.010013263437201658,Peor que el óptimo
11,600.3962887797693,7,0.06604812996154881,Peor que el óptimo
12,605.4123829359331,8,0.9020638226555207,Peor que el óptimo
13,600.3956842766866,6,0.06594737944775868,Peor que el óptimo
14,600.0210703494253,4,0.003511724904209738,Peor que el óptimo
15,604.0335402948425,4,0.672256715807085,Peor que el óptimo
16,600.0175849639187,5,0.0029308273197822623,Peor que el óptimo
17,601.0731377133008,8,0.17885628555012545,Peor que el óptimo
18,604.676075095895,6,0.7793458493158406,Peor que el óptimo
19,603.418816711805,7,0.5698027853008322,Peor que el óptimo
20,600.3834909897314,6,0.0639151649552332,Peor que el óptimo
21,601.080269737524,6,0.18004495625399386,Peor que el óptimo
22,606.8812724455818,6,1.1468787409302952,Peor que el óptimo
23,603.9868384450265,4,0.6644730741710797,Peor que el óptimo
24,600.2830548512931,5,0.04717580854884318,Peor que el óptimo
25,604.9079765835733,4,0.8179960972622098,Peor que el óptimo
26,600.3152289811995,6,0.052538163533256466,Peor que el óptimo
27,602.0498715462517,4,0.3416452577086109,Peor que el óptimo
28,600.1463177396587,4,0.024386289943114054,Peor que el óptimo
29,605.4873205790242,5,0.9145534298373642,Peor que el óptimo
30,603.2304126013881,5,0.5384021002313565,Peor que el óptimo
31,604.2679931822515,4,0.7113321970419216,Peor que el óptimo
