run,mejor_valor,n_switches
1,3021.704588550601,7
2,3036.39800238711,12
3,3036.3980039438143,9
4,3036.3980023871063,10
5,3132.0552687002773,7
6,3009.939665280198,15
7,3009.9396665334034,11
8,3036.398002387107,23
9,3041.998195205217,15
10,3121.6933954113365,8
11,3009.939665280196,13
12,3009.939665280196,17
13,3026.6128748323144,10
14,3036.3980023871063,10
15,3286.8098613325274,11
16,3036.3980023871572,15
17,3009.939665280198,21
18,3054.645537465126,5
19,3309.103071141546,15
20,3086.781149246219,8
21,3036.398003974411,7
22,3036.398002387107,8
23,3009.939665280196,18
24,3874.5047661634635,9
25,3056.5275486036435,9
26,3009.9396652801956,23
27,3041.988359121318,11
28,2954.6568116674503,9
29,2995.506887259313,12
30,3040.202185057823,17
31,3981.5041041070845,6
