run,mejor_valor,n_switches,gap_pct,tiempo_s
1,58022.0,6,1.9683376417118623,204.88
2,58150.0,6,1.7520739351546792,185.71
3,57572.0,8,2.7286397350769596,241.69
4,57488.0,10,2.870562792505111,153.70
5,58106.0,6,1.826414584283711,177.33
6,57525.0,9,2.8080490648284253,160.92
7,57981.0,9,2.03760961021846,203.97
8,57268.0,10,3.2422660381502695,120.16
9,57891.0,7,2.1896700288914794,271.82
10,58138.0,8,1.7723486576444152,200.17
11,57439.0,6,2.9533512426715327,201.75
12,58114.0,5,1.812898102623887,276.77
13,57886.0,9,2.1981178299288695,123.73
14,57944.0,5,2.100123337895146,296.36
15,57759.0,9,2.4126919762785746,163.70
16,56615.0,9,4.3455488536333995,90.33
17,57982.0,8,2.035920050010982,245.36
18,57875.0,7,2.2167029922111277,287.66
19,57993.0,9,2.0173348877287243,188.38
20,58013.0,6,1.9835436835791644,276.05
21,57417.0,8,2.9905215672360486,240.79
22,58084.0,8,1.8635849088482268,207.08
23,57987.0,8,2.0274722489735924,173.00
24,58210.0,6,1.6507003227059995,321.18
25,58313.0,8,1.4766756213357664,289.91
26,58320.0,8,1.4648486998834203,233.00
27,58361.0,6,1.3955767313768226,277.49
28,58149.0,7,1.7537634953621573,233.54
29,58321.0,8,1.4631591396759422,209.89
30,58299.0,7,1.500329464240458,109.57
31,57753.0,8,2.4228293375234426,158.17
