rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,SA,1.81,57947.451613,240.913102,57948.000000,386.000000,57862.643843,58032.259383,57380.000000,58358.000000,3.028467e-01,6.357008e-01,9.663108e-01,Similar (=) ns
2,Hybrid DTW,1.85,57902.419355,379.076929,57987.000000,387.500000,57768.974271,58035.864439,56615.000000,58361.000000,1.952432e-03,1.000000e+00,1.000000e+00,=
3,GA,2.55,57737.645161,210.426004,57761.000000,318.000000,57663.569654,57811.720668,57192.000000,58088.000000,4.784561e-01,1.766152e-02,5.546042e-03,Peor (-) *
4,WOA,4.32,57215.870968,219.590337,57166.000000,166.500000,57138.569374,57293.172562,56877.000000,57675.000000,3.244101e-03,9.955838e-07,3.657188e-09,Peor (-) ***
5,GWO,4.50,57187.064516,190.833424,57136.000000,236.000000,57119.886114,57254.242918,56830.000000,57603.000000,4.065325e-01,5.216493e-06,1.918193e-09,Peor (-) ***
6,EHO,6.39,56179.516129,461.120510,56200.000000,655.000000,56017.189540,56341.842718,55062.000000,57045.000000,5.912634e-01,9.313226e-10,2.063115e-11,Peor (-) ***
7,ACO,7.10,55891.000000,255.228786,55935.000000,271.000000,55801.152731,55980.847269,55272.000000,56328.000000,3.682963e-01,9.313226e-10,1.401024e-11,Peor (-) ***
8,PSO,7.48,55736.322581,215.873788,55713.000000,262.500000,55660.329310,55812.315851,55353.000000,56159.000000,6.991860e-01,1.173503e-06,1.401024e-11,Peor (-) ***
