funcion,n_dim,n_runs,media,std,mediana,mejor,peor,valor_optimo,gap_media_pct,gap_mejor_pct,mejor_run,resultado_frente_optimo,significancia_estadistica
F1_Shifted_Rotated_Zakharov,10,31,300.4512825241402,2.512340496305574,300.00000000000887,300.0,313.9881726622207,300.0,0.15042750804673233,0.0,9,Óptimo alcanzado,Mixta significativa (+3/=0/-2)
F2_Shifted_Rotated_Rosenbrock,10,31,405.99511850550505,3.7662980832505073,408.9161019277813,400.01086739014283,408.91610696122467,400.0,1.4987796263762618,0.0027168475357086663,4,Peor que el óptimo,Favorable significativa (+3/=2/-0)
F3_Shifted_Rotated_Expanded_Schaffers_F7,10,31,603.534402686536,5.945872172016127,601.4168426649096,600.0108161797967,627.6679544375305,600.0,0.5890671144226758,0.0018026966327890175,14,Peor que el óptimo,Mixta significativa (+2/=2/-1)
F4_Shifted_Rotated_NonContinuous_Rastrigin,10,31,816.2579417157831,4.923582992576416,815.0,808.0,827.0,800.0,2.0322427144728863,1.0,8,Peor que el óptimo,Favorable significativa (+2/=3/-0)
F5_Shifted_Rotated_Levy,10,31,901.6724517303892,5.595086264175782,900.0000685952981,900.0000000000001,924.7449107437017,900.0,0.1858279700432427,1.2631870857957336e-14,11,Óptimo alcanzado,Mixta significativa (+3/=0/-2)
F6_Hybrid_Function_1,10,31,3488.5969655081594,1821.9853139770264,2718.090658124325,1846.429084787387,7923.928513064272,1800.0,93.81094252823108,2.579393599299275,2,Peor que el óptimo,Favorable significativa (+1/=4/-0)
F7_Hybrid_Function_2,10,31,2020.4325277615703,9.159555078804129,2021.722811044055,2000.5009879668971,2043.4207389014875,2000.0,1.0216263880785164,0.0250493983448564,12,Peor que el óptimo,Favorable significativa (+5/=0/-0)
F8_Hybrid_Function_3,10,31,2220.3372184698924,4.644297847388988,2220.940519125463,2201.2137464395278,2225.4637560372034,2200.0,0.9244190213587444,0.055170292705807616,26,Peor que el óptimo,Favorable significativa (+5/=0/-0)
F9_Composition_Function_1,10,31,2529.28438270913,3.581940363220381e-09,2529.284382708487,2529.284382708487,2529.2843827284305,2300.0,9.968886204744788,9.96888620471683,1,Peor que el óptimo,Mixta significativa (+3/=1/-1)
F10_Composition_Function_2,10,31,2522.9451649186203,46.72840627085455,2500.513584234757,2500.258225045165,2632.5276220968317,2400.0,5.122715204942513,4.177426043548546,13,Peor que el óptimo,Favorable significativa (+4/=1/-0)
F11_Composition_Function_3,10,31,2651.786891359541,92.72436523315649,2600.0000000269074,2600.0000000000005,3000.0000000000045,2600.0,1.9918035138285073,1.7490282726402467e-14,13,Óptimo alcanzado,Favorable significativa (+5/=0/-0)
F12_Composition_Function_4,10,31,2863.9295520149058,1.3228030195869633,2863.877930614416,2860.6801761305433,2866.682300035786,2700.0,6.071464889440955,5.951117634464565,1,Peor que el óptimo,Favorable significativa (+2/=3/-0)
