Funcion            : CEC 3 (F3_Shifted_Rotated_Expanded_Schaffers_F7) (Mejor Run #08)
Dimension          : 10
Limites            : [-100.0, 100.0]
Optimo conocido    : 600.000000
Mejor valor global : 600.010978
Total switches     : 9

1. EHO (poblacional) | mejor=609.055400 | 0.0s-0.5s | iters=242
2. WOA (poblacional) | mejor=609.055400 | 0.5s-0.6s | iters=56
3. EHO (poblacional) | mejor=609.055400 | 0.6s-0.6s | iters=56
4. PSO (poblacional) | mejor=609.055400 | 0.6s-0.7s | iters=56
5. GWO (poblacional) | mejor=609.055400 | 0.7s-0.8s | iters=56
6. ACO (poblacional) | mejor=600.036316 | 0.8s-1.3s | iters=300
7. GWO (poblacional) | mejor=600.036316 | 1.3s-1.4s | iters=56
8. EHO (poblacional) | mejor=600.010978 | 1.4s-1.7s | iters=171
9. PSO (poblacional) | mejor=600.010978 | 1.7s-1.8s | iters=56
