run,Hybrid DDTW,PSO,GWO,WOA,EHO,ACO
1,2500.5015765699636,2622.3769774014154,2607.2778823480357,2666.685048018946,2629.5719098535933,2500.418463503648
2,2500.372855643043,2627.910461154789,2615.862997091729,2707.498275935533,2626.4887960888846,2500.4273682156527
3,2500.5159288400355,3215.2306745266883,2664.134603333955,3553.4066198376877,2865.7730449691667,2626.093476239926
4,2500.807199530643,2500.48408098768,2607.874272817347,3657.20401237423,2622.37992033644,2500.530781318813
5,2500.7111606709695,2651.996246332055,2608.7871793357585,3884.0595084350034,2500.7444190494643,2500.4073917775577
6,2500.4830087891787,2614.568239402027,2629.408661268881,2674.775112888762,2637.9069434122403,2500.5040622084416
7,2500.538837217472,2660.4108162579623,2628.515165011486,3619.156661041546,2500.345157764341,2631.587098138498
8,2500.6140468783615,2624.088075761403,2617.868715216018,2658.908755939366,2615.6995059839055,2500.433600885926
9,2500.4359996189837,2500.3740665629343,2500.444725767483,2502.3652664002752,2500.545911207591,2500.561393727971
10,2500.3568378427844,2616.889992710713,2633.039667834395,2501.0244378039642,2628.8088988500804,2500.4805751155104
11,2500.414894899199,2610.898160879876,2608.3854085011076,2646.24425614225,2614.3825151952997,2500.4674095564487
12,2500.470305048658,2500.741254506457,2500.34297591294,2502.5940034516093,2500.9798023328667,2500.3428191226812
13,2500.3820372000137,2501.291016484191,2500.332831626245,2503.247087380564,2501.331143578766,2500.4408051881624
14,2500.5963389895787,2618.8672944220107,2624.1398039434193,2655.615565709273,2500.568854391002,2500.533271466057
15,2616.9591912367327,2533.6203686878575,2631.1375699040054,3109.8229221662004,2615.306917687083,2500.442288290358
16,2500.4069775612147,2500.4164374706174,2500.4345752891427,2501.086744644588,2500.4662152245755,2500.4445250395097
17,2500.407332489449,2613.5038934307345,2500.340174179078,2654.289946816948,2620.8211282483535,2500.3872762051983
18,2500.8535709356647,2627.688149791684,2610.4868739251324,3186.2409846265246,2644.061882243639,2635.7205333085044
19,2500.468369388099,2608.474121903134,2611.9777475230894,2642.748800884909,3150.071441816282,2624.4701463270726
20,2615.7451574231873,2611.372833733055,2611.605959638227,3520.5859224349106,3023.57071349826,2621.0708007160365
21,2610.0931060600406,2627.359219038633,2613.8698371431738,2652.3795260736656,2638.1117347477125,2500.4945921004078
22,2500.429544405235,2500.464341151971,2500.420414315309,2684.121786882073,2700.076718255142,2500.488728418571
23,2500.329843996803,2500.8319593329034,2500.4590569242437,2500.7284941284493,2500.607779254932,2500.362348439873
24,2612.2373143624504,2613.6243737717964,2608.3344906445645,2691.029726911428,2500.7643806658225,2640.4013610561515
25,2500.5288135981523,2620.823985458099,2653.01655584713,3963.6666537269866,2501.6062171644385,2500.3547042177906
26,2500.6795417424296,2504.906811250125,2636.216665892639,3738.0533375443015,2500.788090538693,2633.75300341873
27,2500.7012425420135,2613.463588766187,2608.215017904553,2618.5047811222207,2500.537868399523,2500.4206009917148
28,2614.1565660377337,2619.242255388949,2611.4581068416533,2645.64526335134,2641.6039778669297,2626.7515716343137
29,2500.2812709805994,2623.829572802023,2613.923011519999,2654.902752194597,2500.915281421251,2500.379306607939
30,2625.6484768888577,2613.636627171401,2614.3409964092557,2706.380835416005,2625.0126809295775,2629.5702816993066
31,2500.5936293747163,2503.056821794937,2500.33232053643,2500.7356757695543,2500.7316118830668,2500.443487642495
