rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,mknapcb3_inst00,1.00,117369.967742,388.959679,117282.000000,614.500000,117233.043669,117506.891815,116550.000000,118015.000000,2.026439e-01,9.313226e-10,1.398558e-11,Mejor (+) ***
2,mknapcb6_inst00,2.00,114760.612903,434.747488,114830.000000,583.000000,114607.570314,114913.655493,113527.000000,115701.000000,4.541037e-01,1.172812e-06,1.399379e-11,Mejor (+) ***
3,mknapcb9_inst00,3.00,113115.096774,433.380999,113199.000000,597.000000,112962.535225,113267.658324,112132.000000,113974.000000,1.474234e-01,9.313226e-10,1.397737e-11,Mejor (+) ***
4,mknapcb5_inst00,4.45,58150.290323,189.480376,58138.000000,300.000000,58083.588229,58216.992416,57674.000000,58425.000000,8.576900e-02,1.173503e-06,1.398558e-11,Mejor (+) ***
5,mknapcb2_inst00,4.55,58168.419355,251.204667,58248.000000,306.000000,58079.988682,58256.850028,57603.000000,58849.000000,2.340380e-01,1.173503e-06,1.397737e-11,Mejor (+) ***
6,mknapcb8_inst00,6.00,55451.129032,244.734787,55499.000000,227.000000,55364.975928,55537.282136,54981.000000,55988.000000,1.180811e-01,9.313226e-10,1.399379e-11,Mejor (+) ***
7,mknapcb1_inst00,7.00,24142.838710,102.533278,24152.000000,138.000000,24106.744290,24178.933130,23897.000000,24276.000000,3.221928e-02,1.000000e+00,1.000000e+00,=
8,mknapcb4_inst00,8.00,22821.967742,132.468231,22741.000000,211.000000,22775.335428,22868.600055,22626.000000,23030.000000,1.037648e-03,1.173503e-06,1.393638e-11,Peor (-) ***
9,mknapcb7_inst00,9.00,21691.935484,72.507441,21676.000000,125.500000,21666.410951,21717.460017,21567.000000,21772.000000,7.117390e-04,9.313226e-10,1.220198e-11,Peor (-) ***
